"","INSEE_COM","Annee","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"26539","17299",2023,168737.09,2416.6,71.75
"26540","17300",2019,245411.57,3804.61,66.69
"26541","17300",2020,264246.32,4137.66,66.13
"26542","17300",2021,301239.64,4589.54,68.2
"26543","17300",2022,328241.86,5062.33,66.97
"26544","17300",2023,323658.05,5011.39,65.85
"27071","17415",2019,151571.52,1756.2,86.92
"27072","17415",2020,156406.37,1784.03,87.58
"27073","17415",2021,173394.49,1929.6,91.26
"27074","17415",2022,193262.63,2158.44,90.84
"27075","17415",2023,185902.79,2183.81,85.52
"27563","18033",2019,119268.38,1489.52,80.17
"27564","18033",2020,119836.76,1534.6,78.08
"27565","18033",2021,125002.62,1605.21,77.56
"27566","18033",2022,135067.78,1753.41,77.41
"27567","18033",2023,130245.79,1757.1,74.78
"28710","18279",2019,74763.82,910.38,82.23
"28711","18279",2020,71943.37,957.11,75.57
"28712","18279",2021,77977.33,1018.72,78.45
"28713","18279",2022,83572.05,1111.81,76.56
"28714","18279",2023,84980.02,1110.03,78.31
"28903","19031",2019,123320.77,1566.2,78.4
"28904","19031",2020,131021.18,1680.23,78.88
"28905","19031",2021,137013.91,1750.59,77.88
"28906","19031",2022,144638.83,1935.12,76
"28907","19031",2023,154649.28,1977.72,78.64
"30261","21054",2019,180063.68,2226.24,80.53
"30262","21054",2020,180007.49,2347.33,78.74
"30263","21054",2021,207640.66,2504.97,82.64
"30264","21054",2022,225326.12,2932.46,76.81
"30265","21054",2023,226854.68,2790.87,81.35
"30971","21231",2019,140726.77,2301.56,61.57
"30972","21231",2020,151754.44,2464.43,61.69
"30973","21231",2021,164460.52,2667.31,61.94
"30974","21231",2022,172326.97,2832.42,61.29
"30975","21231",2023,170914.73,2798.27,61.74
"33481","22113",2019,137145.61,1583.14,87.08
"33482","22113",2020,140156.72,1626.97,86.85
"33483","22113",2021,161382.92,1864.89,87.66
"33484","22113",2022,172230.56,2067.15,83.32
"33485","22113",2023,183649.76,2156.06,85.36
"34216","22278",2019,102146.1,1315.34,76.26
"34217","22278",2020,107054.04,1418.96,74.61
"34218","22278",2021,129653.26,1621.32,78.87
"34219","22278",2022,144062.47,1875.96,75.67
"34220","22278",2023,138332.76,1882.79,73.77
"36068","24037",2019,120565.97,1402.78,86.89
"36069","24037",2020,128574.11,1491.85,87.56
"36070","24037",2021,144381.27,1594.59,90.67
"36071","24037",2022,153470.97,1781.17,86.37
"36072","24037",2023,154114.55,1862.58,82.74
"37213","24322",2019,119262.55,1604.6,75.08
"37214","24322",2020,131929.99,1712.31,77.71
"37215","24322",2021,140319.24,1863.81,75.98
"37216","24322",2022,143875.06,1975.33,74.86
"37217","24322",2023,147369.56,1995.17,74.23
"38512","25056",2019,127581.6,1870.1,69.06
"38513","25056",2020,134250.33,1961.01,69.03
"38514","25056",2021,145679.79,2169.68,68.13
"38515","25056",2022,155312.01,2353.51,67.4
"38516","25056",2023,147131.17,2294.25,65.28
"39750","25388",2019,93003.38,1140.26,79.1
"39751","25388",2020,92970.41,1228.29,76.88
"39752","25388",2021,97341.99,1164.39,80.96
"39753","25388",2022,103302.15,1274.2,78.92
"39754","25388",2023,93582.71,1215.31,75.28
"41479","26198",2019,148834.94,1750.6,82.78
"41480","26198",2020,164841.13,1902.55,83.43
"41481","26198",2021,176048.37,2047.79,83.69
"41482","26198",2022,176152.36,2170.29,80.97
"41483","26198",2023,189334.06,2240.82,81.5
"41795","26281",2019,129714.65,1587.18,81.56
"41796","26281",2020,140888.71,1723.5,81.15
"41797","26281",2021,143852.83,1807.09,78.6
"41798","26281",2022,170705.74,2034.03,83.12
"41799","26281",2023,163274.15,2091.4,77.63
"42149","26362",2019,142825.09,1903.07,75.2
"42150","26362",2020,146149.75,1952.14,75.31
"42151","26362",2021,160725.65,2170.76,74.17
"42152","26362",2022,175772.07,2325.87,75.15
"42153","26362",2023,165700.32,2283.43,72.56
"43168","27229",2019,119286.71,1669.59,71.4
"43169","27229",2020,118271.29,1704.38,70.63
"43170","27229",2021,137692.13,1864.47,73.79
"43171","27229",2022,136479.09,2005.78,69.4
"43172","27229",2023,137415.92,2013.17,69.66
"44970","27681",2019,167589.35,2218.62,76.64
"44971","27681",2020,182773.2,2270.33,81.09
"44972","27681",2021,207159.95,2543.27,82.73
"44973","27681",2022,212684.86,2753.2,78.06
"44974","27681",2023,206008.66,2722.37,78.01
"45417","28085",2019,160140.24,2260.61,70.8
"45418","28085",2020,169342.25,2391.27,70.09
"45419","28085",2021,170571.47,2470.03,69.54
"45420","28085",2022,194732.52,2712.79,70.93
"45421","28085",2023,174960.79,2597,68.06
"45616","28134",2019,117999.62,1596.17,74.67
"45617","28134",2020,136219.72,1703.57,80.91
"45618","28134",2021,134854,1733,79.36
"45619","28134",2022,146908.23,1888.99,77.12
"45620","28134",2023,140196.11,1913.62,72.91
"46921","29019",2019,112147.51,1566.18,71.16
"46922","29019",2020,124996.46,1771.37,71.22
"46923","29019",2021,143952.93,2048.8,71.03
"46924","29019",2022,156561.91,2296.89,69.25
"46925","29019",2023,159326.36,2321.54,69.97
"47021","29039",2019,169300.84,2120.59,81.17
"47022","29039",2020,193216.5,2301.73,85.33
"47023","29039",2021,233278.38,2715.73,85.61
"47024","29039",2022,259118.32,3342.66,79.47
"47025","29039",2023,277323.42,3585.92,78.83
"47874","29232",2019,122232.68,1623.85,74.93
"47875","29232",2020,129406.77,1693.48,75.96
"47876","29232",2021,149124.41,1944.16,76.58
"47877","29232",2022,163291.55,2188.44,74.81
"47878","29232",2023,169149.76,2324.6,73.83
"48212","2A004",2019,233513.88,3296.94,71.77
"48213","2A004",2020,236766.22,3375.55,70.98
"48214","2A004",2021,260886.55,3688.99,71.66
"48215","2A004",2022,267076.47,3882.11,69.93
"48216","2A004",2023,278404.58,4027.39,69.84
"48766","2B033",2019,178590.43,2597.44,68.94
"48767","2B033",2020,183907.65,2679.1,68.2
