"","Ensemble","0 à 14 ans","15 à 29 ans","30 à 44 ans","45 à 59 ans","60 à 74 ans","75 ans ou plus","code_insee","Ville","0-14 ans","15-29 ans","30-44 ans","45-59 ans","60-74 ans","75-+ ans"
"109",36849,7665,7011,6443,6619,5287,3824,"38151","echirolles",20.8,19.03,17.48,17.96,14.35,10.38
"110",22891,4001,4350,4216,4518,3409,2396,"38169","fontaine",17.48,19,18.42,19.74,14.89,10.47
"111",157477,23660,48522,31264,23022,18071,12938,"38185","grenoble",15.02,30.81,19.85,14.62,11.48,8.22
"112",38454,6131,13273,6635,5893,3974,2548,"38421","saint-martin-d-heres",15.94,34.52,17.25,15.32,10.33,6.63
"113",31051,5769,5914,5923,5688,4623,3135,"38544","vienne",18.58,19.05,19.08,18.32,14.89,10.1
"114",20891,3520,3353,3533,4373,3553,2559,"38563","voiron",16.85,16.05,16.91,20.93,17.01,12.25
"115",23775,3659,3853,3628,4616,4767,3251,"39198","dole",15.39,16.21,15.26,19.42,20.05,13.67
"116",21347,2469,3702,3245,4015,4420,3496,"40088","dax",11.57,17.34,15.2,18.81,20.71,16.38
"117",30674,4388,6160,5246,6048,5655,3178,"40192","mont-de-marsan",14.31,20.08,17.1,19.72,18.44,10.36
"118",46813,8821,9724,8060,8060,7263,4885,"41018","blois",18.84,20.77,17.22,17.22,15.51,10.44
"119",34762,4855,6955,5272,6226,6367,5088,"42187","roanne",13.97,20.01,15.17,17.91,18.32,14.64
"120",35068,6385,6120,5790,6761,5785,4227,"42207","saint-chamond",18.21,17.45,16.51,19.28,16.5,12.05
"121",172718,29963,40579,29845,28065,25417,18850,"42218","saint-etienne",17.35,23.49,17.28,16.25,14.72,10.91
"122",20410,3982,3377,4106,4260,3147,1539,"44020","bouguenais",19.51,16.55,20.12,20.87,15.42,7.54
"123",20510,3620,4343,3577,4089,3292,1589,"44026","carquefou",17.65,21.18,17.44,19.94,16.05,7.75
"124",20331,4015,3238,3881,4200,3378,1618,"44035","la-chapelle-sur-erdre",19.75,15.93,19.09,20.66,16.62,7.96
"125",23057,4611,3835,4853,4848,3313,1597,"44047","coueron",20,16.63,21.05,21.03,14.37,6.93
"126",323204,51740,91339,69175,50446,37329,23174,"44109","nantes",16.01,28.26,21.4,15.61,11.55,7.17
"127",27872,5369,4974,4961,5244,4451,2872,"44114","orvault",19.26,17.85,17.8,18.81,15.97,10.3
"128",42998,7928,8052,9050,7940,6017,4011,"44143","reze",18.44,18.73,21.05,18.47,13.99,9.33
"129",49537,9073,10118,10056,8627,7232,4432,"44162","saint-herblain",18.32,20.43,20.3,17.42,14.6,8.95
"130",72057,11761,12415,12212,13885,13490,8293,"44184","saint-nazaire",16.32,17.23,16.95,19.27,18.72,11.51
"131",28283,4706,5161,5629,5266,4577,2944,"44190","saint-sebastien-sur-loire",16.64,18.25,19.9,18.62,16.18,10.41
"132",26002,4718,3998,4949,5223,4674,2440,"44215","vertou",18.14,15.38,19.03,20.09,17.98,9.38
"133",21438,4587,3856,4060,3825,3265,1845,"45147","fleury-les-aubrais",21.4,17.99,18.94,17.84,15.23,8.61
"134",22855,3675,5228,3887,3760,3971,2333,"45232","olivet",16.08,22.87,17.01,16.45,17.37,10.21
"135",116617,20659,29841,22260,19406,15226,9226,"45234","orleans",17.72,25.59,19.09,16.64,13.06,7.91
"136",21700,4550,4112,4064,4203,3241,1530,"45284","saint-jean-de-braye",20.97,18.95,18.73,19.37,14.94,7.05
"137",20141,2692,3306,2999,3880,4273,2991,"46042","cahors",13.37,16.41,14.89,19.26,21.22,14.85
"138",32485,5156,7791,5789,5536,4603,3610,"47001","agen",15.87,23.98,17.82,17.04,14.17,11.11
"139",21629,2983,3193,3153,4159,4674,3468,"47323","villeneuve-sur-lot",13.79,14.76,14.58,19.23,21.61,16.03
"140",157175,23929,48212,26132,23592,20572,14739,"49007","angers",15.22,30.67,16.63,15.01,13.09,9.38
"141",23639,4875,3715,4461,4515,3696,2377,"49023","beaupreau-en-mauges",20.62,15.72,18.87,19.1,15.64,10.06
