Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
2 pièces,2 216,"17,4",2 118,"16,6",2 062,"15,9",92064,saint-cloud
3 pièces,3 393,"26,6",3 446,"27,1",3 564,"27,5",92064,saint-cloud
4 pièces,2 568,"20,1",2 516,"19,8",2 720,"21,0",92064,saint-cloud
5 pièces ou plus,3 343,"26,2",2 885,"22,7",3 148,"24,3",92064,saint-cloud
Ensemble,8 564,"100,0",8 549,"100,0",9 074,"100,0",92071,sceaux
1 pièce,997,"11,6",1 116,"13,1",1 403,"15,5",92071,sceaux
2 pièces,1 327,"15,5",1 367,"16,0",1 269,"14,0",92071,sceaux
3 pièces,2 211,"25,8",2 003,"23,4",2 071,"22,8",92071,sceaux
4 pièces,1 754,"20,5",1 823,"21,3",1 871,"20,6",92071,sceaux
5 pièces ou plus,2 275,"26,6",2 240,"26,2",2 460,"27,1",92071,sceaux
Ensemble,9 570,"100,0",9 809,"100,0",10 053,"100,0",92072,sevres
1 pièce,801,"8,4",889,"9,1",927,"9,2",92072,sevres
2 pièces,1 758,"18,4",2 007,"20,5",2 358,"23,5",92072,sevres
3 pièces,2 620,"27,4",2 630,"26,8",2 771,"27,6",92072,sevres
4 pièces,2 044,"21,4",1 963,"20,0",1 657,"16,5",92072,sevres
5 pièces ou plus,2 347,"24,5",2 321,"23,7",2 340,"23,3",92072,sevres
Ensemble,20 518,"100,0",21 201,"100,0",21 961,"100,0",92073,suresnes
1 pièce,2 601,"12,7",2 195,"10,4",2 316,"10,5",92073,suresnes
2 pièces,5 129,"25,0",5 591,"26,4",5 691,"25,9",92073,suresnes
3 pièces,6 205,"30,2",6 797,"32,1",6 925,"31,5",92073,suresnes
4 pièces,3 654,"17,8",3 692,"17,4",3 780,"17,2",92073,suresnes
5 pièces ou plus,2 928,"14,3",2 926,"13,8",3 249,"14,8",92073,suresnes
Ensemble,12 536,"100,0",13 175,"100,0",13 410,"100,0",92075,vanves
1 pièce,1 780,"14,2",2 357,"17,9",2 291,"17,1",92075,vanves
2 pièces,3 183,"25,4",3 187,"24,2",3 105,"23,2",92075,vanves
3 pièces,4 023,"32,1",3 667,"27,8",3 908,"29,1",92075,vanves
4 pièces,2 234,"17,8",2 292,"17,4",2 429,"18,1",92075,vanves
5 pièces ou plus,1 316,"10,5",1 673,"12,7",1 678,"12,5",92075,vanves
Ensemble,9 012,"100,0",8 973,"100,0",9 425,"100,0",92078,villeneuve-la-garenne
1 pièce,345,"3,8",534,"5,9",484,"5,1",92078,villeneuve-la-garenne
2 pièces,1 371,"15,2",1 368,"15,2",1 324,"14,1",92078,villeneuve-la-garenne
3 pièces,3 617,"40,1",3 581,"39,9",3 715,"39,4",92078,villeneuve-la-garenne
4 pièces,2 826,"31,4",2 533,"28,2",2 967,"31,5",92078,villeneuve-la-garenne
5 pièces ou plus,854,"9,5",957,"10,7",934,"9,9",92078,villeneuve-la-garenne
Ensemble,28 981,"100,0",30 940,"100,0",34 904,"100,0",93001,aubervilliers
1 pièce,3 398,"11,7",4 097,"13,2",6 416,"18,4",93001,aubervilliers
2 pièces,9 052,"31,2",9 362,"30,3",10 062,"28,8",93001,aubervilliers
3 pièces,9 689,"33,4",10 157,"32,8",10 879,"31,2",93001,aubervilliers
4 pièces,4 910,"16,9",5 429,"17,5",5 659,"16,2",93001,aubervilliers
5 pièces ou plus,1 931,"6,7",1 894,"6,1",1 888,"5,4",93001,aubervilliers
Ensemble,28 087,"100,0",28 805,"100,0",31 019,"100,0",93005,aulnay-sous-bois
1 pièce,1 249,"4,4",1 352,"4,7",2 367,"7,6",93005,aulnay-sous-bois
2 pièces,3 646,"13,0",4 118,"14,3",4 778,"15,4",93005,aulnay-sous-bois
3 pièces,8 054,"28,7",8 344,"29,0",8 823,"28,4",93005,aulnay-sous-bois
4 pièces,8 675,"30,9",8 423,"29,2",8 218,"26,5",93005,aulnay-sous-bois
5 pièces ou plus,6 464,"23,0",6 569,"22,8",6 833,"22,0",93005,aulnay-sous-bois
Ensemble,13 910,"100,0",14 474,"100,0",16 283,"100,0",93006,bagnolet
1 pièce,1 470,"10,6",1 584,"10,9",1 913,"11,7",93006,bagnolet
2 pièces,4 046,"29,1",3 741,"25,8",4 150,"25,5",93006,bagnolet
3 pièces,4 321,"31,1",4 898,"33,8",5 194,"31,9",93006,bagnolet
4 pièces,2 957,"21,3",2 901,"20,0",3 398,"20,9",93006,bagnolet
5 pièces ou plus,1 116,"8,0",1 349,"9,3",1 628,"10,0",93006,bagnolet
Ensemble,18 282,"100,0",19 435,"100,0",20 793,"100,0",93007,le-blanc-mesnil
1 pièce,940,"5,1",1 133,"5,8",1 302,"6,3",93007,le-blanc-mesnil
2 pièces,2 806,"15,3",3 278,"16,9",3 442,"16,6",93007,le-blanc-mesnil
3 pièces,6 190,"33,9",6 443,"33,2",6 944,"33,4",93007,le-blanc-mesnil
4 pièces,4 985,"27,3",5 195,"26,7",5 396,"25,9",93007,le-blanc-mesnil
5 pièces ou plus,3 361,"18,4",3 385,"17,4",3 711,"17,8",93007,le-blanc-mesnil
Ensemble,16 328,"100,0",18 286,"100,0",19 451,"100,0",93008,bobigny
1 pièce,951,"5,8",1 847,"10,1",2 382,"12,2",93008,bobigny
2 pièces,3 031,"18,6",3 477,"19,0",3 693,"19,0",93008,bobigny
3 pièces,6 077,"37,2",6 282,"34,4",6 271,"32,2",93008,bobigny
4 pièces,4 232,"25,9",4 389,"24,0",4 871,"25,0",93008,bobigny
5 pièces ou plus,2 037,"12,5",2 290,"12,5",2 234,"11,5",93008,bobigny
Ensemble,19 211,"100,0",19 418,"100,0",20 018,"100,0",93010,bondy
1 pièce,1 037,"5,4",1 129,"5,8",1 763,"8,8",93010,bondy
2 pièces,3 627,"18,9",4 024,"20,7",4 035,"20,2",93010,bondy
3 pièces,6 453,"33,6",6 460,"33,3",6 755,"33,7",93010,bondy
4 pièces,4 770,"24,8",4 735,"24,4",4 513,"22,5",93010,bondy
5 pièces ou plus,3 323,"17,3",3 071,"15,8",2 952,"14,7",93010,bondy
Ensemble,8 715,"100,0",8 981,"100,0",9 036,"100,0",93014,clichy-sous-bois
1 pièce,280,"3,2",298,"3,3",252,"2,8",93014,clichy-sous-bois
2 pièces,682,"7,8",994,"11,1",928,"10,3",93014,clichy-sous-bois
3 pièces,3 446,"39,5",3 666,"40,8",3 665,"40,6",93014,clichy-sous-bois
4 pièces,3 216,"36,9",2 673,"29,8",2 806,"31,1",93014,clichy-sous-bois
5 pièces ou plus,1 091,"12,5",1 350,"15,0",1 385,"15,3",93014,clichy-sous-bois
Ensemble,13 253,"100,0",14 674,"100,0",16 098,"100,0",93027,la-courneuve
1 pièce,1 483,"11,2",1 933,"13,2",1 828,"11,4",93027,la-courneuve
2 pièces,3 113,"23,5",3 625,"24,7",3 633,"22,6",93027,la-courneuve
3 pièces,4 557,"34,4",4 762,"32,4",5 775,"35,9",93027,la-courneuve
4 pièces,2 493,"18,8",2 778,"18,9",3 157,"19,6",93027,la-courneuve
5 pièces ou plus,1 606,"12,1",1 578,"10,8",1 706,"10,6",93027,la-courneuve
Ensemble,25 529,"100,0",26 898,"100,0",28 140,"100,0",93029,drancy
1 pièce,1 866,"7,3",2 197,"8,2",2 590,"9,2",93029,drancy
2 pièces,4 938,"19,3",5 744,"21,4",6 028,"21,4",93029,drancy
3 pièces,7 753,"30,4",8 046,"29,9",8 395,"29,8",93029,drancy
4 pièces,6 662,"26,1",6 525,"24,3",6 522,"23,2",93029,drancy
5 pièces ou plus,4 309,"16,9",4 386,"16,3",4 606,"16,4",93029,drancy
Ensemble,19 751,"100,0",20 166,"100,0",20 579,"100,0",93031,epinay-sur-seine
1 pièce,1 761,"8,9",1 826,"9,1",1 959,"9,5",93031,epinay-sur-seine
2 pièces,3 049,"15,4",3 166,"15,7",3 602,"17,5",93031,epinay-sur-seine
3 pièces,7 414,"37,5",7 821,"38,8",7 312,"35,5",93031,epinay-sur-seine
4 pièces,5 490,"27,8",5 556,"27,6",5 286,"25,7",93031,epinay-sur-seine
5 pièces ou plus,2 037,"10,3",1 797,"8,9",2 419,"11,8",93031,epinay-sur-seine
Ensemble,15 116,"100,0",15 353,"100,0",15 688,"100,0",93032,gagny
1 pièce,611,"4,0",808,"5,3",818,"5,2",93032,gagny
2 pièces,2 075,"13,7",2 268,"14,8",2 491,"15,9",93032,gagny
3 pièces,4 532,"30,0",4 399,"28,7",4 398,"28,0",93032,gagny
4 pièces,3 988,"26,4",3 785,"24,7",3 755,"23,9",93032,gagny
5 pièces ou plus,3 909,"25,9",4 093,"26,7",4 226,"26,9",93032,gagny
Ensemble,10 421,"100,0",10 570,"100,0",10 778,"100,0",93045,les-lilas
1 pièce,1 634,"15,7",1 459,"13,8",1 380,"12,8",93045,les-lilas
2 pièces,3 113,"29,9",2 958,"28,0",3 065,"28,4",93045,les-lilas
3 pièces,2 707,"26,0",2 927,"27,7",3 050,"28,3",93045,les-lilas
4 pièces,1 862,"17,9",2 251,"21,3",2 267,"21,0",93045,les-lilas
5 pièces ou plus,1 105,"10,6",974,"9,2",1 016,"9,4",93045,les-lilas
Ensemble,17 356,"100,0",18 012,"100,0",18 623,"100,0",93046,livry-gargan
1 pièce,1 533,"8,8",1 406,"7,8",1 336,"7,2",93046,livry-gargan
2 pièces,3 265,"18,8",3 954,"21,9",4 230,"22,7",93046,livry-gargan
3 pièces,5 091,"29,3",5 023,"27,9",5 319,"28,6",93046,livry-gargan
4 pièces,3 959,"22,8",4 181,"23,2",4 016,"21,6",93046,livry-gargan
5 pièces ou plus,3 509,"20,2",3 449,"19,1",3 722,"20,0",93046,livry-gargan
Ensemble,8 506,"100,0",8 740,"100,0",9 571,"100,0",93047,montfermeil
1 pièce,348,"4,1",379,"4,3",313,"3,3",93047,montfermeil
2 pièces,793,"9,3",1 039,"11,9",1 424,"14,9",93047,montfermeil
3 pièces,1 972,"23,2",2 090,"23,9",2 330,"24,3",93047,montfermeil
4 pièces,2 581,"30,3",2 460,"28,1",2 547,"26,6",93047,montfermeil
5 pièces ou plus,2 813,"33,1",2 772,"31,7",2 957,"30,9",93047,montfermeil
Ensemble,42 915,"100,0",45 847,"100,0",49 135,"100,0",93048,montreuil
1 pièce,5 266,"12,3",6 257,"13,6",6 673,"13,6",93048,montreuil
2 pièces,11 084,"25,8",11 771,"25,7",12 760,"26,0",93048,montreuil
3 pièces,13 331,"31,1",14 302,"31,2",15 021,"30,6",93048,montreuil
4 pièces,8 400,"19,6",8 374,"18,3",9 174,"18,7",93048,montreuil
5 pièces ou plus,4 834,"11,3",5 144,"11,2",5 508,"11,2",93048,montreuil
Ensemble,8 483,"100,0",8 694,"100,0",9 430,"100,0",93049,neuilly-plaisance
1 pièce,807,"9,5",819,"9,4",1 266,"13,4",93049,neuilly-plaisance
2 pièces,1 406,"16,6",1 492,"17,2",1 663,"17,6",93049,neuilly-plaisance
3 pièces,2 193,"25,9",2 444,"28,1",2 479,"26,3",93049,neuilly-plaisance
4 pièces,2 045,"24,1",1 735,"20,0",1 870,"19,8",93049,neuilly-plaisance
5 pièces ou plus,2 031,"23,9",2 204,"25,4",2 152,"22,8",93049,neuilly-plaisance
Ensemble,12 953,"100,0",13 761,"100,0",14 907,"100,0",93050,neuilly-sur-marne
1 pièce,1 046,"8,1",1 353,"9,8",1 456,"9,8",93050,neuilly-sur-marne
2 pièces,2 071,"16,0",2 429,"17,7",2 477,"16,6",93050,neuilly-sur-marne
3 pièces,3 377,"26,1",4 037,"29,3",4 859,"32,6",93050,neuilly-sur-marne
4 pièces,4 315,"33,3",4 105,"29,8",4 000,"26,8",93050,neuilly-sur-marne
5 pièces ou plus,2 144,"16,6",1 837,"13,4",2 115,"14,2",93050,neuilly-sur-marne
Ensemble,24 903,"100,0",26 563,"100,0",29 075,"100,0",93051,noisy-le-grand
1 pièce,2 596,"10,4",2 730,"10,3",3 223,"11,1",93051,noisy-le-grand
2 pièces,3 627,"14,6",4 272,"16,1",5 356,"18,4",93051,noisy-le-grand
3 pièces,7 351,"29,5",7 936,"29,9",8 328,"28,6",93051,noisy-le-grand
4 pièces,6 584,"26,4",6 748,"25,4",7 245,"24,9",93051,noisy-le-grand
5 pièces ou plus,4 744,"19,1",4 878,"18,4",4 924,"16,9",93051,noisy-le-grand
Ensemble,15 608,"100,0",16 334,"100,0",17 841,"100,0",93053,noisy-le-sec
1 pièce,1 238,"7,9",1 585,"9,7",1 291,"7,2",93053,noisy-le-sec
2 pièces,3 419,"21,9",3 465,"21,2",3 954,"22,2",93053,noisy-le-sec
3 pièces,5 558,"35,6",5 613,"34,4",6 173,"34,6",93053,noisy-le-sec
4 pièces,3 405,"21,8",3 749,"23,0",4 136,"23,2",93053,noisy-le-sec
5 pièces ou plus,1 989,"12,7",1 921,"11,8",2 288,"12,8",93053,noisy-le-sec
Ensemble,22 931,"100,0",23 930,"100,0",25 852,"100,0",93055,pantin
1 pièce,3 027,"13,2",3 013,"12,6",3 498,"13,5",93055,pantin
2 pièces,6 819,"29,7",7 743,"32,4",8 179,"31,6",93055,pantin
3 pièces,8 168,"35,6",7 813,"32,7",8 536,"33,0",93055,pantin
4 pièces,3 438,"15,0",3 682,"15,4",4 021,"15,6",93055,pantin
5 pièces ou plus,1 478,"6,4",1 679,"7,0",1 618,"6,3",93055,pantin
Ensemble,8 895,"100,0",9 172,"100,0",9 748,"100,0",93057,les-pavillons-sous-bois
1 pièce,774,"8,7",761,"8,3",1 081,"11,1",93057,les-pavillons-sous-bois
2 pièces,1 848,"20,8",2 027,"22,1",2 221,"22,8",93057,les-pavillons-sous-bois
3 pièces,2 601,"29,2",2 648,"28,9",2 686,"27,6",93057,les-pavillons-sous-bois
4 pièces,1 968,"22,1",1 903,"20,7",1 907,"19,6",93057,les-pavillons-sous-bois
5 pièces ou plus,1 703,"19,1",1 832,"20,0",1 853,"19,0",93057,les-pavillons-sous-bois
Ensemble,9 420,"100,0",9 749,"100,0",11 495,"100,0",93059,pierrefitte-sur-seine
1 pièce,610,"6,5",820,"8,4",932,"8,1",93059,pierrefitte-sur-seine
2 pièces,1 753,"18,6",1 640,"16,8",2 300,"20,0",93059,pierrefitte-sur-seine
3 pièces,2 736,"29,0",3 002,"30,8",3 594,"31,3",93059,pierrefitte-sur-seine
4 pièces,2 414,"25,6",2 687,"27,6",2 936,"25,5",93059,pierrefitte-sur-seine
5 pièces ou plus,1 908,"20,3",1 600,"16,4",1 733,"15,1",93059,pierrefitte-sur-seine
Ensemble,10 224,"100,0",10 502,"100,0",13 534,"100,0",93063,romainville
1 pièce,768,"7,5",760,"7,2",1 150,"8,5",93063,romainville
2 pièces,2 161,"21,1",2 019,"19,2",3 151,"23,3",93063,romainville
3 pièces,3 367,"32,9",3 958,"37,7",4 871,"36,0",93063,romainville
4 pièces,2 463,"24,1",2 573,"24,5",2 851,"21,1",93063,romainville
5 pièces ou plus,1 465,"14,3",1 192,"11,3",1 512,"11,2",93063,romainville
Ensemble,16 671,"100,0",18 051,"100,0",19 469,"100,0",93064,rosny-sous-bois
1 pièce,1 391,"8,3",1 727,"9,6",2 457,"12,6",93064,rosny-sous-bois
2 pièces,3 337,"20,0",3 196,"17,7",3 695,"19,0",93064,rosny-sous-bois
3 pièces,5 218,"31,3",5 874,"32,5",6 354,"32,6",93064,rosny-sous-bois
4 pièces,3 931,"23,6",4 455,"24,7",4 503,"23,1",93064,rosny-sous-bois
5 pièces ou plus,2 795,"16,8",2 799,"15,5",2 460,"12,6",93064,rosny-sous-bois
Ensemble,41 285,"100,0",43 600,"100,0",46 380,"100,0",93066,saint-denis
1 pièce,5 547,"13,4",5 878,"13,5",7 475,"16,1",93066,saint-denis
2 pièces,12 051,"29,2",12 982,"29,8",12 713,"27,4",93066,saint-denis
3 pièces,12 138,"29,4",13 203,"30,3",14 295,"30,8",93066,saint-denis
4 pièces,8 522,"20,6",8 423,"19,3",8 540,"18,4",93066,saint-denis
5 pièces ou plus,3 027,"7,3",3 114,"7,1",3 356,"7,2",93066,saint-denis
Ensemble,21 383,"100,0",22 363,"100,0",23 978,"100,0",93070,saint-ouen-sur-seine
1 pièce,3 439,"16,1",3 428,"15,3",3 368,"14,0",93070,saint-ouen-sur-seine
2 pièces,7 539,"35,3",7 926,"35,4",7 433,"31,0",93070,saint-ouen-sur-seine
3 pièces,6 644,"31,1",7 010,"31,3",7 789,"32,5",93070,saint-ouen-sur-seine
4 pièces,2 859,"13,4",2 921,"13,1",3 902,"16,3",93070,saint-ouen-sur-seine
5 pièces ou plus,902,"4,2",1 078,"4,8",1 486,"6,2",93070,saint-ouen-sur-seine
Ensemble,16 610,"100,0",16 833,"100,0",17 652,"100,0",93071,sevran
1 pièce,729,"4,4",749,"4,5",1 321,"7,5",93071,sevran
2 pièces,2 343,"14,1",2 794,"16,6",2 836,"16,1",93071,sevran
3 pièces,5 128,"30,9",5 294,"31,4",5 217,"29,6",93071,sevran
4 pièces,4 884,"29,4",4 499,"26,7",4 862,"27,5",93071,sevran
5 pièces ou plus,3 527,"21,2",3 497,"20,8",3 416,"19,4",93071,sevran
Ensemble,11 926,"100,0",13 264,"100,0",13 992,"100,0",93072,stains
1 pièce,973,"8,2",1 377,"10,4",1 709,"12,2",93072,stains
2 pièces,2 673,"22,4",2 542,"19,2",3 006,"21,5",93072,stains
3 pièces,3 569,"29,9",4 187,"31,6",4 142,"29,6",93072,stains
4 pièces,2 827,"23,7",3 214,"24,2",3 287,"23,5",93072,stains
5 pièces ou plus,1 884,"15,8",1 943,"14,7",1 848,"13,2",93072,stains
Ensemble,12 567,"100,0",12 768,"100,0",13 792,"100,0",93073,tremblay-en-france
1 pièce,750,"6,0",735,"5,8",615,"4,5",93073,tremblay-en-france
2 pièces,1 221,"9,7",1 337,"10,5",1 749,"12,7",93073,tremblay-en-france
3 pièces,3 319,"26,4",3 098,"24,3",3 242,"23,5",93073,tremblay-en-france
4 pièces,3 667,"29,2",3 690,"28,9",4 309,"31,2",93073,tremblay-en-france
5 pièces ou plus,3 609,"28,7",3 907,"30,6",3 877,"28,1",93073,tremblay-en-france
Ensemble,11 700,"100,0",12 345,"100,0",12 573,"100,0",93077,villemomble
1 pièce,1 049,"9,0",1 049,"8,5",1 034,"8,2",93077,villemomble
2 pièces,2 176,"18,6",2 410,"19,5",2 578,"20,5",93077,villemomble
3 pièces,3 221,"27,5",3 401,"27,6",3 326,"26,5",93077,villemomble
4 pièces,2 531,"21,6",2 744,"22,2",2 713,"21,6",93077,villemomble
5 pièces ou plus,2 723,"23,3",2 740,"22,2",2 921,"23,2",93077,villemomble
Ensemble,11 434,"100,0",11 751,"100,0",12 797,"100,0",93078,villepinte
1 pièce,512,"4,5",531,"4,5",766,"6,0",93078,villepinte
2 pièces,1 217,"10,6",1 274,"10,8",1 716,"13,4",93078,villepinte
3 pièces,2 616,"22,9",2 811,"23,9",3 416,"26,7",93078,villepinte
4 pièces,3 411,"29,8",3 610,"30,7",3 683,"28,8",93078,villepinte
5 pièces ou plus,3 677,"32,2",3 525,"30,0",3 216,"25,1",93078,villepinte
Ensemble,19 796,"100,0",20 046,"100,0",21 260,"100,0",94002,alfortville
1 pièce,2 569,"13,0",3 085,"15,4",3 005,"14,1",94002,alfortville
2 pièces,5 442,"27,5",5 368,"26,8",5 783,"27,2",94002,alfortville
3 pièces,6 935,"35,0",6 587,"32,9",7 125,"33,5",94002,alfortville
4 pièces,3 297,"16,7",3 142,"15,7",3 577,"16,8",94002,alfortville
5 pièces ou plus,1 554,"7,9",1 864,"9,3",1 771,"8,3",94002,alfortville
Ensemble,8 942,"100,0",9 708,"100,0",10 159,"100,0",94003,arcueil
1 pièce,1 046,"11,7",1 112,"11,5",1 520,"15,0",94003,arcueil
2 pièces,2 057,"23,0",2 241,"23,1",2 286,"22,5",94003,arcueil
3 pièces,3 218,"36,0",3 515,"36,2",3 551,"34,9",94003,arcueil
4 pièces,1 614,"18,1",1 894,"19,5",1 805,"17,8",94003,arcueil
5 pièces ou plus,1 006,"11,3",947,"9,8",998,"9,8",94003,arcueil
Ensemble,11 945,"100,0",12 770,"100,0",13 687,"100,0",94016,cachan
1 pièce,1 306,"10,9",1 922,"15,0",2 258,"16,5",94016,cachan
2 pièces,2 060,"17,2",2 419,"18,9",2 595,"19,0",94016,cachan
3 pièces,3 879,"32,5",3 587,"28,1",4 084,"29,8",94016,cachan
4 pièces,2 785,"23,3",2 940,"23,0",2 707,"19,8",94016,cachan
5 pièces ou plus,1 916,"16,0",1 903,"14,9",2 043,"14,9",94016,cachan
Ensemble,29 178,"100,0",29 807,"100,0",31 350,"100,0",94017,champigny-sur-marne
1 pièce,1 474,"5,1",1 767,"5,9",2 388,"7,6",94017,champigny-sur-marne
2 pièces,4 964,"17,0",4 902,"16,4",5 380,"17,2",94017,champigny-sur-marne
3 pièces,8 774,"30,1",8 764,"29,4",9 266,"29,6",94017,champigny-sur-marne
4 pièces,8 027,"27,5",8 561,"28,7",8 185,"26,1",94017,champigny-sur-marne
5 pièces ou plus,5 939,"20,4",5 814,"19,5",6 131,"19,6",94017,champigny-sur-marne
Ensemble,13 707,"100,0",14 115,"100,0",13 866,"100,0",94018,charenton-le-pont
1 pièce,1 748,"12,7",2 044,"14,5",1 718,"12,4",94018,charenton-le-pont
2 pièces,3 618,"26,4",3 729,"26,4",3 776,"27,2",94018,charenton-le-pont
3 pièces,4 632,"33,8",4 297,"30,4",4 638,"33,4",94018,charenton-le-pont
4 pièces,2 539,"18,5",2 790,"19,8",2 546,"18,4",94018,charenton-le-pont
5 pièces ou plus,1 170,"8,5",1 254,"8,9",1 189,"8,6",94018,charenton-le-pont
Ensemble,7 462,"100,0",7 758,"100,0",8 291,"100,0",94021,chevilly-larue
1 pièce,564,"7,6",600,"7,7",623,"7,5",94021,chevilly-larue
2 pièces,1 068,"14,3",1 397,"18,0",1 529,"18,4",94021,chevilly-larue
3 pièces,2 791,"37,4",2 904,"37,4",2 859,"34,5",94021,chevilly-larue
4 pièces,1 929,"25,9",1 937,"25,0",2 134,"25,7",94021,chevilly-larue
5 pièces ou plus,1 109,"14,9",920,"11,9",1 145,"13,8",94021,chevilly-larue
Ensemble,17 442,"100,0",18 080,"100,0",19 953,"100,0",94022,choisy-le-roi
1 pièce,1 931,"11,1",1 673,"9,3",2 004,"10,0",94022,choisy-le-roi
2 pièces,4 305,"24,7",4 371,"24,2",5 077,"25,4",94022,choisy-le-roi
3 pièces,5 505,"31,6",5 798,"32,1",6 454,"32,3",94022,choisy-le-roi
4 pièces,3 389,"19,4",3 826,"21,2",3 939,"19,7",94022,choisy-le-roi
5 pièces ou plus,2 312,"13,3",2 413,"13,3",2 479,"12,4",94022,choisy-le-roi
Ensemble,35 906,"100,0",36 641,"100,0",39 226,"100,0",94028,creteil
1 pièce,3 329,"9,3",3 458,"9,4",5 057,"12,9",94028,creteil
2 pièces,6 890,"19,2",7 362,"20,1",7 674,"19,6",94028,creteil
3 pièces,12 064,"33,6",12 257,"33,5",12 713,"32,4",94028,creteil
4 pièces,9 364,"26,1",9 301,"25,4",9 416,"24,0",94028,creteil
5 pièces ou plus,4 258,"11,9",4 263,"11,6",4 366,"11,1",94028,creteil
Ensemble,22 333,"100,0",22 352,"100,0",21 989,"100,0",94033,fontenay-sous-bois
1 pièce,2 065,"9,2",1 842,"8,2",1 937,"8,8",94033,fontenay-sous-bois
2 pièces,4 759,"21,3",4 867,"21,8",4 695,"21,4",94033,fontenay-sous-bois
3 pièces,6 444,"28,9",6 320,"28,3",6 113,"27,8",94033,fontenay-sous-bois
4 pièces,5 030,"22,5",5 212,"23,3",4 957,"22,5",94033,fontenay-sous-bois
5 pièces ou plus,4 036,"18,1",4 111,"18,4",4 287,"19,5",94033,fontenay-sous-bois
Ensemble,9 990,"100,0",10 297,"100,0",11 277,"100,0",94034,fresnes
1 pièce,478,"4,8",530,"5,1",1 061,"9,4",94034,fresnes
2 pièces,1 489,"14,9",1 736,"16,9",1 974,"17,5",94034,fresnes
3 pièces,3 252,"32,5",3 329,"32,3",3 571,"31,7",94034,fresnes
4 pièces,3 271,"32,7",3 125,"30,4",2 929,"26,0",94034,fresnes
5 pièces ou plus,1 500,"15,0",1 577,"15,3",1 741,"15,4",94034,fresnes
Ensemble,12 435,"100,0",12 742,"100,0",12 907,"100,0",94038,l-hay-les-roses
1 pièce,746,"6,0",869,"6,8",1 167,"9,0",94038,l-hay-les-roses
2 pièces,1 799,"14,5",2 062,"16,2",1 717,"13,3",94038,l-hay-les-roses
3 pièces,3 798,"30,5",3 841,"30,1",4 015,"31,1",94038,l-hay-les-roses
4 pièces,3 544,"28,5",3 495,"27,4",3 510,"27,2",94038,l-hay-les-roses
5 pièces ou plus,2 548,"20,5",2 475,"19,4",2 499,"19,4",94038,l-hay-les-roses
Ensemble,25 508,"100,0",26 717,"100,0",29 379,"100,0",94041,ivry-sur-seine
1 pièce,3 432,"13,5",4 103,"15,4",5 614,"19,1",94041,ivry-sur-seine
2 pièces,8 162,"32,0",8 097,"30,3",8 285,"28,2",94041,ivry-sur-seine
3 pièces,7 990,"31,3",8 066,"30,2",8 443,"28,7",94041,ivry-sur-seine
4 pièces,4 065,"15,9",4 304,"16,1",4 698,"16,0",94041,ivry-sur-seine
5 pièces ou plus,1 859,"7,3",2 146,"8,0",2 339,"8,0",94041,ivry-sur-seine
Ensemble,8 342,"100,0",8 552,"100,0",9 141,"100,0",94042,joinville-le-pont
1 pièce,1 051,"12,6",822,"9,6",919,"10,1",94042,joinville-le-pont
2 pièces,1 823,"21,9",2 105,"24,6",2 366,"25,9",94042,joinville-le-pont
3 pièces,2 535,"30,4",2 581,"30,2",2 566,"28,1",94042,joinville-le-pont
4 pièces,1 601,"19,2",1 757,"20,6",1 728,"18,9",94042,joinville-le-pont
5 pièces ou plus,1 332,"16,0",1 286,"15,0",1 562,"17,1",94042,joinville-le-pont
Ensemble,11 730,"100,0",11 723,"100,0",11 794,"100,0",94043,le-kremlin-bicetre
1 pièce,1 653,"14,1",1 902,"16,2",2 002,"17,0",94043,le-kremlin-bicetre
2 pièces,2 988,"25,5",3 118,"26,6",3 217,"27,3",94043,le-kremlin-bicetre
3 pièces,4 045,"34,5",3 634,"31,0",3 562,"30,2",94043,le-kremlin-bicetre
4 pièces,2 117,"18,1",2 088,"17,8",2 058,"17,5",94043,le-kremlin-bicetre
5 pièces ou plus,926,"7,9",980,"8,4",955,"8,1",94043,le-kremlin-bicetre
Ensemble,7 414,"100,0",9 798,"100,0",10 489,"100,0",94044,limeil-brevannes
1 pièce,481,"6,5",537,"5,5",518,"4,9",94044,limeil-brevannes
2 pièces,1 108,"14,9",1 986,"20,3",2 342,"22,3",94044,limeil-brevannes
3 pièces,2 108,"28,4",2 984,"30,5",3 218,"30,7",94044,limeil-brevannes
4 pièces,1 884,"25,4",2 348,"24,0",2 478,"23,6",94044,limeil-brevannes
5 pièces ou plus,1 833,"24,7",1 944,"19,8",1 933,"18,4",94044,limeil-brevannes
Ensemble,24 743,"100,0",25 122,"100,0",26 908,"100,0",94046,maisons-alfort
1 pièce,2 631,"10,6",2 343,"9,3",2 657,"9,9",94046,maisons-alfort
2 pièces,5 573,"22,5",6 067,"24,2",6 331,"23,5",94046,maisons-alfort
3 pièces,7 726,"31,2",7 650,"30,4",8 680,"32,3",94046,maisons-alfort
4 pièces,5 702,"23,0",5 456,"21,7",5 750,"21,4",94046,maisons-alfort
5 pièces ou plus,3 111,"12,6",3 606,"14,4",3 489,"13,0",94046,maisons-alfort
Ensemble,14 665,"100,0",14 606,"100,0",15 503,"100,0",94052,nogent-sur-marne
1 pièce,1 658,"11,3",1 728,"11,8",1 847,"11,9",94052,nogent-sur-marne
2 pièces,3 736,"25,5",3 518,"24,1",3 829,"24,7",94052,nogent-sur-marne
