Nombre de pièces,2010,%,2015,%,2021,%,code_insee,Ville
5 pièces ou plus,2 441,"31,7",2 333,"26,7",2 702,"29,4",13071,les-pennes-mirabeau
Ensemble,18 079,"100,0",19 255,"100,0",20 254,"100,0",13103,salon-de-provence
1 pièce,734,"4,1",827,"4,3",815,"4,0",13103,salon-de-provence
2 pièces,1 725,"9,5",2 304,"12,0",2 900,"14,3",13103,salon-de-provence
3 pièces,5 329,"29,5",5 600,"29,1",5 920,"29,2",13103,salon-de-provence
4 pièces,5 771,"31,9",6 032,"31,3",5 915,"29,2",13103,salon-de-provence
5 pièces ou plus,4 519,"25,0",4 491,"23,3",4 704,"23,2",13103,salon-de-provence
Ensemble,13 586,"100,0",13 532,"100,0",14 414,"100,0",13117,vitrolles
1 pièce,307,"2,3",375,"2,8",358,"2,5",13117,vitrolles
2 pièces,1 358,"10,0",1 258,"9,3",1 513,"10,5",13117,vitrolles
3 pièces,3 302,"24,3",3 317,"24,5",3 451,"23,9",13117,vitrolles
4 pièces,4 939,"36,4",4 838,"35,7",5 185,"36,0",13117,vitrolles
5 pièces ou plus,3 680,"27,1",3 745,"27,7",3 907,"27,1",13117,vitrolles
Ensemble,58 157,"100,0",57 578,"100,0",61 313,"100,0",14118,caen
1 pièce,10 727,"18,4",9 827,"17,1",11 575,"18,9",14118,caen
2 pièces,13 031,"22,4",13 077,"22,7",14 373,"23,4",14118,caen
3 pièces,13 902,"23,9",14 630,"25,4",15 171,"24,7",14118,caen
4 pièces,10 643,"18,3",10 568,"18,4",10 406,"17,0",14118,caen
5 pièces ou plus,9 854,"16,9",9 477,"16,5",9 788,"16,0",14118,caen
Ensemble,9 937,"100,0",10 468,"100,0",11 096,"100,0",14327,herouville-saint-clair
1 pièce,1 297,"13,0",913,"8,7",1 037,"9,3",14327,herouville-saint-clair
2 pièces,1 574,"15,8",1 890,"18,1",2 074,"18,7",14327,herouville-saint-clair
3 pièces,2 474,"24,9",2 946,"28,1",3 364,"30,3",14327,herouville-saint-clair
4 pièces,2 539,"25,5",2 585,"24,7",2 560,"23,1",14327,herouville-saint-clair
5 pièces ou plus,2 053,"20,7",2 133,"20,4",2 062,"18,6",14327,herouville-saint-clair
Ensemble,14 200,"100,0",13 900,"100,0",14 194,"100,0",15014,aurillac
1 pièce,846,"6,0",1 036,"7,5",1 189,"8,4",15014,aurillac
2 pièces,2 064,"14,5",2 161,"15,5",2 133,"15,0",15014,aurillac
3 pièces,3 417,"24,1",3 357,"24,2",3 544,"25,0",15014,aurillac
4 pièces,3 785,"26,7",3 795,"27,3",3 656,"25,8",15014,aurillac
5 pièces ou plus,4 089,"28,8",3 551,"25,6",3 673,"25,9",15014,aurillac
Ensemble,21 853,"100,0",22 568,"100,0",23 175,"100,0",16015,angouleme
1 pièce,1 899,"8,7",1 941,"8,6",2 034,"8,8",16015,angouleme
2 pièces,3 913,"17,9",3 918,"17,4",4 456,"19,2",16015,angouleme
3 pièces,5 355,"24,5",5 897,"26,1",6 182,"26,7",16015,angouleme
4 pièces,5 480,"25,1",5 625,"24,9",5 344,"23,1",16015,angouleme
5 pièces ou plus,5 207,"23,8",5 187,"23,0",5 159,"22,3",16015,angouleme
Ensemble,12 465,"100,0",12 458,"100,0",12 587,"100,0",17299,rochefort
1 pièce,782,"6,3",736,"5,9",830,"6,6",17299,rochefort
2 pièces,1 960,"15,7",2 281,"18,3",2 178,"17,3",17299,rochefort
3 pièces,3 181,"25,5",3 357,"26,9",3 261,"25,9",17299,rochefort
4 pièces,3 475,"27,9",3 275,"26,3",3 181,"25,3",17299,rochefort
5 pièces ou plus,3 066,"24,6",2 809,"22,6",3 137,"24,9",17299,rochefort
Ensemble,40 544,"100,0",42 169,"100,0",44 130,"100,0",17300,la-rochelle
1 pièce,5 793,"14,3",6 244,"14,8",6 278,"14,2",17300,la-rochelle
2 pièces,7 440,"18,3",8 763,"20,8",9 071,"20,6",17300,la-rochelle
3 pièces,10 291,"25,4",9 938,"23,6",10 966,"24,8",17300,la-rochelle
4 pièces,9 722,"24,0",9 553,"22,7",9 467,"21,5",17300,la-rochelle
5 pièces ou plus,7 299,"18,0",7 671,"18,2",8 349,"18,9",17300,la-rochelle
Ensemble,13 251,"100,0",13 455,"100,0",14 058,"100,0",17415,saintes
1 pièce,761,"5,7",662,"4,9",681,"4,8",17415,saintes
2 pièces,1 953,"14,7",1 937,"14,4",2 046,"14,6",17415,saintes
3 pièces,3 446,"26,0",3 297,"24,5",3 499,"24,9",17415,saintes
4 pièces,3 617,"27,3",3 909,"29,1",3 952,"28,1",17415,saintes
5 pièces ou plus,3 474,"26,2",3 650,"27,1",3 880,"27,6",17415,saintes
Ensemble,32 280,"100,0",32 557,"100,0",32 296,"100,0",18033,bourges
1 pièce,1 872,"5,8",2 237,"6,9",2 188,"6,8",18033,bourges
2 pièces,5 387,"16,7",5 043,"15,5",4 939,"15,3",18033,bourges
3 pièces,8 542,"26,5",8 340,"25,6",8 112,"25,1",18033,bourges
