Nombre d'enfants,2010,%,2015,%.1,2021,%.2,code_insee,Ville
1 enfant,1130,"21,9",1029,"20,4",1006,"19,6",22113,lannion
2 enfants,949,"18,4",895,"17,7",950,"18,5",22113,lannion
3 enfants,368,"7,1",343,"6,8",330,"6,4",22113,lannion
4 enfants ou plus,90,"1,7",66,"1,3",58,"1,1",22113,lannion
Ensemble,11120,"100,0",10738,"100,0",10509,"100,0",22278,saint-brieuc
Aucun enfant,5618,"50,5",5227,"48,7",5045,"48,0",22278,saint-brieuc
1 enfant,2395,"21,5",2439,"22,7",2540,"24,2",22278,saint-brieuc
2 enfants,2018,"18,2",2034,"18,9",1962,"18,7",22278,saint-brieuc
3 enfants,797,"7,2",793,"7,4",719,"6,8",22278,saint-brieuc
4 enfants ou plus,291,"2,6",245,"2,3",244,"2,3",22278,saint-brieuc
Ensemble,7610,"100,0",7315,"100,0",7095,"100,0",24037,bergerac
Aucun enfant,4384,"57,6",4395,"60,1",4304,"60,7",24037,bergerac
1 enfant,1594,"20,9",1341,"18,3",1362,"19,2",24037,bergerac
2 enfants,1054,"13,9",1024,"14,0",928,"13,1",24037,bergerac
3 enfants,426,"5,6",367,"5,0",366,"5,2",24037,bergerac
4 enfants ou plus,152,"2,0",189,"2,6",136,"1,9",24037,bergerac
Ensemble,7109,"100,0",6818,"100,0",6603,"100,0",24322,perigueux
Aucun enfant,3873,"54,5",3541,"51,9",3405,"51,6",24322,perigueux
1 enfant,1828,"25,7",1662,"24,4",1803,"27,3",24322,perigueux
2 enfants,990,"13,9",1176,"17,2",1015,"15,4",24322,perigueux
3 enfants,300,"4,2",327,"4,8",325,"4,9",24322,perigueux
4 enfants ou plus,118,"1,7",112,"1,6",56,"0,8",24322,perigueux
Ensemble,26587,"100,0",26234,"100,0",26375,"100,0",25056,besancon
Aucun enfant,12845,"48,3",12949,"49,4",12772,"48,4",25056,besancon
1 enfant,6576,"24,7",6285,"24,0",6275,"23,8",25056,besancon
2 enfants,4647,"17,5",4429,"16,9",4383,"16,6",25056,besancon
3 enfants,1858,"7,0",1726,"6,6",1802,"6,8",25056,besancon
4 enfants ou plus,661,"2,5",844,"3,2",1144,"4,3",25056,besancon
Ensemble,6677,"100,0",6221,"100,0",6114,"100,0",25388,montbeliard
Aucun enfant,3312,"49,6",2866,"46,1",2813,"46,0",25388,montbeliard
1 enfant,1462,"21,9",1449,"23,3",1176,"19,2",25388,montbeliard
2 enfants,1187,"17,8",1043,"16,8",1078,"17,6",25388,montbeliard
3 enfants,466,"7,0",595,"9,6",688,"11,2",25388,montbeliard
4 enfants ou plus,250,"3,7",268,"4,3",359,"5,9",25388,montbeliard
Ensemble,9766,"100,0",10365,"100,0",10776,"100,0",26198,montelimar
Aucun enfant,4846,"49,6",5126,"49,5",5375,"49,9",26198,montelimar
1 enfant,2197,"22,5",2219,"21,4",2301,"21,4",26198,montelimar
2 enfants,1799,"18,4",1924,"18,6",1833,"17,0",26198,montelimar
3 enfants,677,"6,9",763,"7,4",896,"8,3",26198,montelimar
4 enfants ou plus,247,"2,5",334,"3,2",370,"3,4",26198,montelimar
Ensemble,8741,"100,0",8599,"100,0",8485,"100,0",26281,romans-sur-isere
Aucun enfant,4089,"46,8",4244,"49,3",4111,"48,5",26281,romans-sur-isere
1 enfant,1988,"22,7",1741,"20,2",1892,"22,3",26281,romans-sur-isere
2 enfants,1660,"19,0",1644,"19,1",1542,"18,2",26281,romans-sur-isere
3 enfants,721,"8,3",690,"8,0",718,"8,5",26281,romans-sur-isere
4 enfants ou plus,282,"3,2",280,"3,3",221,"2,6",26281,romans-sur-isere
Ensemble,16052,"100,0",15531,"100,0",15715,"100,0",26362,valence
Aucun enfant,7773,"48,4",7750,"49,9",7502,"47,7",26362,valence
1 enfant,3648,"22,7",3292,"21,2",3629,"23,1",26362,valence
2 enfants,2848,"17,7",2676,"17,2",2697,"17,2",26362,valence
