0,1,2,code_insee,Ville
Nombre moyen d'habitant(s) par logement,"1,7","1,8",51454,reims
Nombre moyen d'habitant(s) par logement,"1,7","1,8",52121,chaumont
Nombre moyen d'habitant(s) par logement,"1,7","1,8",52448,saint-dizier
Nombre moyen d'habitant(s) par logement,"1,7","1,8",53130,laval
Nombre moyen d'habitant(s) par logement,"1,5","1,8",54395,nancy
Nombre moyen d'habitant(s) par logement,"1,7","1,8",54547,vandoeuvre-les-nancy
Nombre moyen d'habitant(s) par logement,"2,0","1,8",56098,lanester
Nombre moyen d'habitant(s) par logement,"1,6","1,8",56121,lorient
Nombre moyen d'habitant(s) par logement,"1,5","1,8",56260,vannes
Nombre moyen d'habitant(s) par logement,"1,9","1,8",57227,forbach
Nombre moyen d'habitant(s) par logement,"1,7","1,8",57463,metz
Nombre moyen d'habitant(s) par logement,"1,8","1,8",57480,montigny-les-metz
Nombre moyen d'habitant(s) par logement,"1,7","1,8",57631,sarreguemines
Nombre moyen d'habitant(s) par logement,"1,8","1,8",57672,thionville
Nombre moyen d'habitant(s) par logement,"1,5","1,8",58194,nevers
Nombre moyen d'habitant(s) par logement,"2,1","1,8",59009,villeneuve-d-ascq
Nombre moyen d'habitant(s) par logement,"2,0","1,8",59017,armentieres
Nombre moyen d'habitant(s) par logement,"1,7","1,8",59122,cambrai
Nombre moyen d'habitant(s) par logement,"2,1","1,8",59155,coudekerque-branche
Nombre moyen d'habitant(s) par logement,"1,9","1,8",59163,croix
Nombre moyen d'habitant(s) par logement,"2,3","1,8",59172,denain
Nombre moyen d'habitant(s) par logement,"1,8","1,8",59178,douai
Nombre moyen d'habitant(s) par logement,"1,9","1,8",59183,dunkerque
Nombre moyen d'habitant(s) par logement,"2,5","1,8",59271,grande-synthe
Nombre moyen d'habitant(s) par logement,"2,4","1,8",59279,halluin
Nombre moyen d'habitant(s) par logement,"2,1","1,8",59295,hazebrouck
Nombre moyen d'habitant(s) par logement,"2,0","1,8",59328,lambersart
Nombre moyen d'habitant(s) par logement,"1,6","1,8",59350,lille
Nombre moyen d'habitant(s) par logement,"1,9","1,8",59360,loos
Nombre moyen d'habitant(s) par logement,"1,7","1,8",59368,la-madeleine
