4426,10056,13917,20933,21217,20609,20756,20207,77285,le-mee-sur-seine
34524,37712,35005,35319,35695,39589,39914,42367,77288,melun
13122,13741,12731,15205,16869,18499,19847,20627,77294,mitry-mory
19789,21568,19413,18657,17625,16681,18871,22259,77305,montereau-fault-yonne
4739,11778,13719,19031,20707,20268,20137,20692,77350,ozoir-la-ferriere
9282,16761,19037,26804,32886,35561,38370,38258,77373,pontault-combault
2561,10881,15274,18688,19693,22321,23048,23061,77390,roissy-en-brie
828,2881,11835,18520,22339,28599,30260,30510,77445,savigny-le-temple
3401,4800,12279,18681,21595,22425,23558,22444,77468,torcy
13470,14817,16659,18790,21296,24122,26255,26822,77514,villeparisis
10444,15172,15351,15039,18942,19626,21053,21368,78005,acheres
24687,25696,23326,22834,21527,20971,21037,20476,78126,la-celle-saint-cloud
22619,26550,28437,27977,28588,30173,31058,29649,78146,chatou
15070,26815,31681,33413,31748,32190,31686,30924,78158,le-chesnay-rocquencourt
26304,31066,28977,31467,33327,35380,35019,35926,78172,conflans-sainte-honorine
861,10629,20129,22584,26655,26829,25504,26082,78208,elancourt
1493,3450,10983,18307,25079,27966,27801,29406,78297,guyancourt
29338,30345,29537,29650,29634,31557,31981,33449,78311,houilles
24223,23504,22595,22173,21856,22817,23371,23080,78358,maisons-laffitte
26062,42465,43564,45087,43672,42969,44799,44539,78361,mantes-la-jolie
14632,16708,17360,19081,19231,19234,19778,21376,78362,mantes-la-ville
937,1550,14093,31687,35216,33337,33123,31777,78423,montigny-le-bretonneux
21733,28165,31619,33089,31739,30859,32048,33977,78440,les-mureaux
6869,21259,22593,25877,31045,30958,31857,31375,78490,plaisir
33613,37497,36389,36745,35841,37680,37093,40016,78498,poissy
14505,18941,21438,24343,24758,26159,25456,26816,78517,rambouillet
16001,16537,14996,14829,14566,17401,18221,20971,78545,saint-cyr-l-ecole
39274,39538,40806,43979,42584,44566,43976,44380,78551,saint-germain-en-laye
40277,42253,46197,50329,50219,51150,52538,51220,78586,sartrouville
16799,22895,29763,30878,28812,29380,32346,33717,78621,trappes
15471,22611,22430,20725,20342,20089,21090,22713,78640,velizy-villacoublay
90863,94190,91542,87837,85776,86161,85823,83587,78646,versailles
55984,62267,58203,57012,56663,57325,58952,59309,79191,niort
23999,25398,24915,23787,24567,24155,23278,22595,80001,abbeville
117888,131476,131332,131872,135501,133448,132874,133625,80021,amiens
42930,46162,45947,46579,46274,48916,49475,49714,81004,albi
40457,45978,45578,44812,43496,42314,41483,42672,81065,castres
45872,48028,50682,51224,51855,56271,59982,61919,82121,montauban
18376,21448,26667,30183,32829,36391,40278,39745,83050,draguignan
23629,28851,31662,41486,46801,51839,52897,57082,83061,frejus
9629,15506,19805,22412,25329,25930,25047,25912,83062,la-garde
34875,36123,38999,48043,51417,54600,56478,55103,83069,hyeres
17844,21080,24118,26616,30671,33603,35296,35950,83118,saint-raphael
43783,51155,57659,59968,60188,62082,64903,62763,83126,la-seyne-sur-mer
15118,20090,25526,28957,32742,34897,33339,36203,83129,six-fours-les-plages
174746,181801,179423,167619,160639,164532,167479,180452,83137,toulon
11194,14745,18296,20687,21739,20754,23347,23955,83144,la-valette-du-var
86096,90786,89132,86939,85935,89683,92130,90330,84007,avignon
21388,24251,24838,24212,26090,29278,28699,30769,84031,carpentras
18544,21259,20615,23102,24563,24951,26707,25923,84035,cavaillon
24562,25371,26499,26964,27989,29135,29561,28949,84087,orange
8355,10117,12430,15791,17833,18931,19645,20012,84089,pertuis
8558,11794,12845,14203,16132,18686,20133,22494,85047,challans
9057,11142,12474,13736,15562,18790,19942,20605,85146,montaigu-vendee
36067,44713,45098,45219,49262,52664,53578,54952,85191,la-roche-sur-yon
28218,30969,32436,35352,38500,41574,42649,48402,85194,les-sables-d-olonne
35793,37080,35838,34678,34126,32459,31809,31284,86066,chatellerault
71129,81313,79350,78894,83448,87697,87918,90240,86194,poitiers
133019,143725,140418,133486,133994,139150,133627,129760,87085,limoges
36856,39604,37818,36732,35794,32842,31938,32285,88160,epinal
36063,38342,38741,38819,37790,36200,34583,34778,89024,auxerre
23035,25991,26062,26433,26118,24883,25784,27034,89387,sens
53214,54615,51206,50125,50417,50078,49519,45155,90010,belfort
27638,30735,28494,29121,29427,30393,32792,36222,91027,athis-mons
12688,19572,18662,19671,21650,23334,26215,27106,91103,bretigny-sur-orge
16031,22727,23899,24468,23617,25377,26077,25423,91114,brunoy
32192,38859,37846,40345,39378,43086,50412,52683,91174,corbeil-essonnes
25352,28602,26543,27867,28093,28491,29300,29173,91201,draveil
16493,19651,19386,21457,21839,23158,24271,26529,91223,etampes
7292,19663,34542,58793,63391,65947,67215,66177,91228,evry-courcouronnes
7298,12945,17166,19754,21364,20654,21069,22352,91272,gif-sur-yvette
2938,25653,26180,24920,24512,26638,28424,27257,91286,grigny
