"","X","Hiver","Printemps","Eté","Automne","code_insee","Ville"
"656","Hauteur de pluie","205","177","248","183","91286","grigny"
"657","Heures d'ensoleillement","23","50","59","18","91345","longjumeau"
"658","Hauteur de pluie","205","177","248","183","91345","longjumeau"
"659","Heures d'ensoleillement","","","","","91377","massy"
"660","Hauteur de pluie","199","240","208","255","91377","massy"
"661","Heures d'ensoleillement","23","50","59","18","91421","montgeron"
"662","Hauteur de pluie","205","177","248","183","91421","montgeron"
"663","Heures d'ensoleillement","23","50","59","18","91434","morsang-sur-orge"
"664","Hauteur de pluie","205","177","248","183","91434","morsang-sur-orge"
"665","Heures d'ensoleillement","","","","","91477","palaiseau"
"666","Hauteur de pluie","199","240","208","255","91477","palaiseau"
"667","Heures d'ensoleillement","23","50","59","18","91521","ris-orangis"
"668","Hauteur de pluie","205","177","248","183","91521","ris-orangis"
"669","Heures d'ensoleillement","23","50","59","18","91549","sainte-genevieve-des-bois"
"670","Hauteur de pluie","205","177","248","183","91549","sainte-genevieve-des-bois"
"671","Heures d'ensoleillement","23","50","59","18","91570","saint-michel-sur-orge"
"672","Hauteur de pluie","205","177","248","183","91570","saint-michel-sur-orge"
"673","Heures d'ensoleillement","23","50","59","18","91589","savigny-sur-orge"
"674","Hauteur de pluie","205","177","248","183","91589","savigny-sur-orge"
"675","Heures d'ensoleillement","23","50","59","18","91657","vigneux-sur-seine"
"676","Hauteur de pluie","205","177","248","183","91657","vigneux-sur-seine"
"677","Heures d'ensoleillement","23","50","59","18","91687","viry-chatillon"
"678","Hauteur de pluie","205","177","248","183","91687","viry-chatillon"
"679","Heures d'ensoleillement","23","50","59","18","91691","yerres"
"680","Hauteur de pluie","205","177","248","183","91691","yerres"
"681","Heures d'ensoleillement","","","","","91692","les-ulis"
"682","Hauteur de pluie","199","240","208","255","91692","les-ulis"
"683","Heures d'ensoleillement","","","","","92002","antony"
"684","Hauteur de pluie","199","240","208","255","92002","antony"
"685","Heures d'ensoleillement","25","50","56","18","92004","asnieres-sur-seine"
"686","Hauteur de pluie","222","194","246","240","92004","asnieres-sur-seine"
"687","Heures d'ensoleillement","25","50","56","18","92007","bagneux"
"688","Hauteur de pluie","222","194","246","240","92007","bagneux"
"689","Heures d'ensoleillement","25","50","56","18","92009","bois-colombes"
"690","Hauteur de pluie","222","194","246","240","92009","bois-colombes"
"691","Heures d'ensoleillement","25","50","56","18","92012","boulogne-billancourt"
"692","Hauteur de pluie","222","194","246","240","92012","boulogne-billancourt"
"693","Heures d'ensoleillement","25","50","56","18","92014","bourg-la-reine"
"694","Hauteur de pluie","222","194","246","240","92014","bourg-la-reine"
"695","Heures d'ensoleillement","","","","","92019","chatenay-malabry"
"696","Hauteur de pluie","199","240","208","255","92019","chatenay-malabry"
"697","Heures d'ensoleillement","25","50","56","18","92020","chatillon"
"698","Hauteur de pluie","222","194","246","240","92020","chatillon"
"699","Heures d'ensoleillement","25","50","56","18","92023","clamart"
"700","Hauteur de pluie","222","194","246","240","92023","clamart"
"701","Heures d'ensoleillement","25","50","56","18","92024","clichy"
"702","Hauteur de pluie","222","194","246","240","92024","clichy"
"703","Heures d'ensoleillement","25","50","56","18","92025","colombes"
"704","Hauteur de pluie","222","194","246","240","92025","colombes"
"705","Heures d'ensoleillement","25","50","56","18","92026","courbevoie"
"706","Hauteur de pluie","222","194","246","240","92026","courbevoie"
"707","Heures d'ensoleillement","25","50","56","18","92032","fontenay-aux-roses"
"708","Hauteur de pluie","222","194","246","240","92032","fontenay-aux-roses"
"709","Heures d'ensoleillement","25","50","56","18","92035","la-garenne-colombes"
"710","Hauteur de pluie","222","194","246","240","92035","la-garenne-colombes"
"711","Heures d'ensoleillement","","","","","92036","gennevilliers"
"712","Hauteur de pluie","221","180","205","230","92036","gennevilliers"
"713","Heures d'ensoleillement","25","50","56","18","92040","issy-les-moulineaux"
"714","Hauteur de pluie","222","194","246","240","92040","issy-les-moulineaux"
"715","Heures d'ensoleillement","25","50","56","18","92044","levallois-perret"
"716","Hauteur de pluie","222","194","246","240","92044","levallois-perret"
"717","Heures d'ensoleillement","25","50","56","18","92046","malakoff"
"718","Hauteur de pluie","222","194","246","240","92046","malakoff"
"719","Heures d'ensoleillement","","","","","92048","meudon"
"720","Hauteur de pluie","199","240","208","255","92048","meudon"
"721","Heures d'ensoleillement","25","50","56","18","92049","montrouge"
