Catégorie ou type de logement,2010,%,2015,%,2021,%,code_insee,Ville
Ensemble,26 786,"100,0",27 557,"100,0",28 662,"100,0",13004,arles
Résidences principales,23 621,"88,2",24 431,"88,7",23 448,"81,8",13004,arles
Résidences secondaires et logements occasionnels,903,"3,4",984,"3,6",1 693,"5,9",13004,arles
Logements vacants,2 261,"8,4",2 143,"7,8",3 521,"12,3",13004,arles
,,,,,,,13004,arles
Maisons,14 930,"55,7",15 452,"56,1",16 113,"56,2",13004,arles
Appartements,11 718,"43,7",11 931,"43,3",12 301,"42,9",13004,arles
Ensemble,20 769,"100,0",21 108,"100,0",22 656,"100,0",13005,aubagne
Résidences principales,19 080,"91,9",18 923,"89,6",20 757,"91,6",13005,aubagne
Résidences secondaires et logements occasionnels,268,"1,3",377,"1,8",293,"1,3",13005,aubagne
Logements vacants,1 421,"6,8",1 808,"8,6",1 605,"7,1",13005,aubagne
,,,,,,,13005,aubagne
Maisons,7 862,"37,9",8 194,"38,8",8 527,"37,6",13005,aubagne
Appartements,12 786,"61,6",12 767,"60,5",13 985,"61,7",13005,aubagne
Ensemble,20 514,"100,0",22 854,"100,0",24 025,"100,0",13028,la-ciotat
Résidences principales,15 672,"76,4",16 984,"74,3",18 476,"76,9",13028,la-ciotat
Résidences secondaires et logements occasionnels,3 567,"17,4",4 314,"18,9",4 707,"19,6",13028,la-ciotat
Logements vacants,1 275,"6,2",1 556,"6,8",843,"3,5",13028,la-ciotat
,,,,,,,13028,la-ciotat
Maisons,6 744,"32,9",7 248,"31,7",7 106,"29,6",13028,la-ciotat
Appartements,13 557,"66,1",15 499,"67,8",16 783,"69,9",13028,la-ciotat
Ensemble,9 106,"100,0",9 263,"100,0",10 258,"100,0",13041,gardanne
Résidences principales,8 480,"93,1",8 478,"91,5",9 552,"93,1",13041,gardanne
Résidences secondaires et logements occasionnels,38,"0,4",80,"0,9",134,"1,3",13041,gardanne
Logements vacants,588,"6,5",705,"7,6",571,"5,6",13041,gardanne
,,,,,,,13041,gardanne
Maisons,4 751,"52,2",4 503,"48,6",4 734,"46,2",13041,gardanne
Appartements,4 276,"47,0",4 662,"50,3",5 462,"53,2",13041,gardanne
Ensemble,18 352,"100,0",19 322,"100,0",21 143,"100,0",13047,istres
Résidences principales,17 271,"94,1",17 901,"92,7",19 953,"94,4",13047,istres
Résidences secondaires et logements occasionnels,178,"1,0",313,"1,6",374,"1,8",13047,istres
Logements vacants,903,"4,9",1 107,"5,7",816,"3,9",13047,istres
,,,,,,,13047,istres
Maisons,9 923,"54,1",10 193,"52,8",10 348,"48,9",13047,istres
Appartements,8 367,"45,6",9 013,"46,6",10 671,"50,5",13047,istres
