"","Hommes","Femmes","code_insee","Ville","Homme","Femme"
"40",50754,57446,"14118","caen",46.91,53.09
"41",10389,11838,"14327","herouville-saint-clair",46.74,53.26
"42",11985,13830,"15014","aurillac",46.43,53.57
"43",19524,21562,"16015","angouleme",47.52,52.48
"44",10654,12438,"17299","rochefort",46.14,53.86
"45",36580,41955,"17300","la-rochelle",46.58,53.42
"46",11499,14019,"17415","saintes",45.06,54.94
"47",30239,33463,"18033","bourges",47.47,52.53
"48",11848,13500,"18279","vierzon",46.74,53.26
"49",21959,24640,"19031","brive-la-gaillarde",47.12,52.88
"50",9415,10617,"21054","beaune",47,53
"51",75212,84134,"21231","dijon",47.2,52.8
"52",10150,10194,"22113","lannion",49.89,50.11
"53",20641,23583,"22278","saint-brieuc",46.67,53.33
"54",12041,14282,"24037","bergerac",45.74,54.26
"55",13800,15716,"24322","perigueux",46.75,53.25
"56",56145,63053,"25056","besancon",47.1,52.9
"57",12391,13182,"25388","montbeliard",48.45,51.55
"58",19029,21370,"26198","montelimar",47.1,52.9
"59",15553,17358,"26281","romans-sur-isere",47.26,52.74
"60",30405,34078,"26362","valence",47.15,52.85
"61",21987,25302,"27229","evreux",46.49,53.51
"62",11483,13060,"27681","vernon",46.79,53.21
"63",17880,20567,"28085","chartres",46.51,53.49
"64",14871,16008,"28134","dreux",48.16,51.84
"65",68093,71526,"29019","brest",48.77,51.23
"66",9535,11072,"29039","concarneau",46.27,53.73
"67",29756,33886,"29232","quimper",46.76,53.24
"68",34715,39107,"2A004","ajaccio",47.03,52.97
"69",22865,25903,"2B033","bastia",46.89,53.11
"70",20319,23573,"30007","ales",46.29,53.71
"71",70619,77485,"30189","nimes",47.68,52.32
"72",13109,13357,"31069","blagnac",49.53,50.47
"73",19439,20720,"31149","colomiers",48.41,51.59
"74",9761,10580,"31157","cugnaux",47.99,52.01
"75",12492,12568,"31395","muret",49.85,50.15
"76",244831,259247,"31555","toulouse",48.57,51.43
"77",14229,15210,"31557","tournefeuille",48.33,51.67
"78",10854,12187,"32013","auch",47.11,52.89
"79",14585,16228,"33039","begles",47.33,52.67
"80",122318,139486,"33063","bordeaux",46.72,53.28
"81",11036,13303,"33069","le-bouscat",45.34,54.66
"82",9741,10474,"33075","bruges",48.19,51.81
"83",12779,13999,"33119","cenon",47.72,52.28
"84",11514,12860,"33162","eysines",47.24,52.76
"85",12591,13244,"33192","gradignan",48.74,51.26
"86",10753,11646,"33199","gujan-mestras",48.01,51.99
"87",11152,13405,"33243","libourne",45.41,54.59
"88",10938,12353,"33249","lormont",46.96,53.04
"89",35289,40440,"33281","merignac",46.6,53.4
"90",31420,35340,"33318","pessac",47.06,52.94
"91",15592,16946,"33449","saint-medard-en-jalles",47.92,52.08
"92",21516,23709,"33522","talence",47.58,52.42
"93",12547,14009,"33529","la-teste-de-buch",47.25,52.75
"94",19298,21202,"33550","villenave-d-ornon",47.65,52.35
"95",13602,15501,"34003","agde",46.74,53.26
"96",38061,42280,"34032","beziers",47.37,52.63
"97",11840,13048,"34057","castelnau-le-lez",47.57,52.43
"98",11293,12515,"34108","frontignan",47.43,52.57
"99",12589,13596,"34145","lunel",48.08,51.92
"100",142091,160363,"34172","montpellier",46.98,53.02
"101",20572,24140,"34301","sete",46.01,53.99
"102",9754,10899,"35115","fougeres",47.23,52.77
"103",107578,117503,"35238","rennes",47.8,52.2
"104",21348,25975,"35288","saint-malo",45.11,54.89
"105",20042,22926,"36044","chateauroux",46.64,53.36
"106",17989,20194,"37122","joue-les-tours",47.11,52.89
"107",63688,73970,"37261","tours",46.27,53.73
"108",13934,15643,"38053","bourgoin-jallieu",47.11,52.89
"109",17754,19095,"38151","echirolles",48.18,51.82
"110",10989,11902,"38169","fontaine",48.01,51.99
"111",76432,81045,"38185","grenoble",48.54,51.46
"112",19052,19402,"38421","saint-martin-d-heres",49.54,50.46
"113",14911,16140,"38544","vienne",48.02,51.98
"114",9783,11108,"38563","voiron",46.83,53.17
"115",10835,12940,"39198","dole",45.57,54.43
"116",9548,11799,"40088","dax",44.73,55.27
"117",14801,15873,"40192","mont-de-marsan",48.25,51.75
"118",22139,24674,"41018","blois",47.29,52.71
"119",16292,18470,"42187","roanne",46.87,53.13
"120",16477,18591,"42207","saint-chamond",46.99,53.01
"121",82735,89983,"42218","saint-etienne",47.9,52.1
"122",9937,10473,"44020","bouguenais",48.69,51.31
"123",10325,10185,"44026","carquefou",50.34,49.66
"124",9985,10346,"44035","la-chapelle-sur-erdre",49.11,50.89
"125",11270,11787,"44047","coueron",48.88,51.12
"126",155785,167419,"44109","nantes",48.2,51.8
"127",13426,14446,"44114","orvault",48.17,51.83
"128",19955,23043,"44143","reze",46.41,53.59
"129",23569,25968,"44162","saint-herblain",47.58,52.42
"130",34320,37737,"44184","saint-nazaire",47.63,52.37
"131",13276,15007,"44190","saint-sebastien-sur-loire",46.94,53.06
"132",12627,13375,"44215","vertou",48.56,51.44
"133",10186,11252,"45147","fleury-les-aubrais",47.51,52.49
"134",11290,11565,"45232","olivet",49.4,50.6
"135",56044,60573,"45234","orleans",48.06,51.94
"136",10377,11323,"45284","saint-jean-de-braye",47.82,52.18
"137",9197,10944,"46042","cahors",45.66,54.34
"138",14990,17495,"47001","agen",46.14,53.86
"139",10081,11548,"47323","villeneuve-sur-lot",46.61,53.39
"140",72308,84867,"49007","angers",46,54
"141",11810,11829,"49023","beaupreau-en-mauges",49.96,50.04
"142",10762,10624,"49092","chemille-en-anjou",50.32,49.68
"143",26011,27925,"49099","cholet",48.23,51.77
"144",12962,12844,"49301","sevremoine",50.23,49.77
"145",12180,14035,"49328","saumur",46.46,53.54
"146",37676,40132,"50129","cherbourg-en-cotentin",48.42,51.58
"147",21082,22795,"51108","chalons-en-champagne",48.05,51.95
"148",10259,11742,"51230","epernay",46.63,53.37
"149",84386,94994,"51454","reims",47.04,52.96
"150",10405,11294,"52121","chaumont",47.95,52.05
"151",11040,12028,"52448","saint-dizier",47.86,52.14
"152",23690,25967,"53130","laval",47.71,52.29
"153",49328,54932,"54395","nancy",47.31,52.69
"154",14344,15193,"54547","vandoeuvre-les-nancy",48.56,51.44
"155",11197,11829,"56098","lanester",48.63,51.37
"156",27519,30327,"56121","lorient",47.57,52.43
"157",25383,29037,"56260","vannes",46.64,53.36
"158",10156,10974,"57227","forbach",48.06,51.94
"159",59339,61535,"57463","metz",49.09,50.91
"160",10273,11581,"57480","montigny-les-metz",47.01,52.99
"161",9973,10651,"57631","sarreguemines",48.36,51.64
"162",20675,21488,"57672","thionville",49.04,50.96
"163",15152,17678,"58194","nevers",46.15,53.85
"164",30195,31872,"59009","villeneuve-d-ascq",48.65,51.35
"165",12464,13117,"59017","armentieres",48.72,51.28
"166",14471,16954,"59122","cambrai",46.05,53.95
"167",9667,11098,"59155","coudekerque-branche",46.55,53.45
"168",9765,11013,"59163","croix",47,53
"169",9976,10664,"59172","denain",48.33,51.67
"170",19469,20179,"59178","douai",49.1,50.9
"171",41288,45500,"59183","dunkerque",47.57,52.43
"172",9759,10572,"59271","grande-synthe",48,52
"173",10188,10641,"59279","halluin",48.91,51.09
"174",10092,11406,"59295","hazebrouck",46.94,53.06
"175",12935,14186,"59328","lambersart",47.69,52.31
"176",114077,122633,"59350","lille",48.19,51.81
"177",10931,12082,"59360","loos",47.5,52.5
"178",10377,12111,"59368","la-madeleine",46.14,53.86
"179",18594,20762,"59378","marcq-en-baroeul",47.25,52.75
"180",14136,14930,"59392","maubeuge",48.63,51.37
"181",10218,11249,"59410","mons-en-baroeul",47.6,52.4
"182",48206,50686,"59512","roubaix",48.75,51.25
