"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"189","Couples avec enfant(s)","5 000","27,7","4 997","26,0","4 685","23,1","13103","salon-de-provence"
"190","Familles monoparentales","1 888","10,4","2 148","11,2","2 379","11,7","13103","salon-de-provence"
"191","Ménages d'une personne","3 380","24,9","3 851","28,5","4 410","30,3","13117","vitrolles"
"192","Autres ménages sans famille","364","2,7","351","2,6","127","0,9","13117","vitrolles"
"193","Couples sans enfant","3 331","24,5","3 134","23,2","3 375","23,2","13117","vitrolles"
"194","Couples avec enfant(s)","4 744","34,9","4 342","32,1","4 420","30,4","13117","vitrolles"
"195","Familles monoparentales","1 762","13,0","1 853","13,7","2 222","15,3","13117","vitrolles"
"196","Ménages d'une personne","31 689","54,5","32 094","55,7","36 908","60,2","14118","caen"
"197","Autres ménages sans famille","2 446","4,2","2 554","4,4","1 840","3,0","14118","caen"
"198","Couples sans enfant","11 489","19,8","10 766","18,7","10 297","16,8","14118","caen"
"199","Couples avec enfant(s)","7 590","13,1","6 894","12,0","6 961","11,4","14118","caen"
"200","Familles monoparentales","4 942","8,5","5 274","9,2","5 257","8,6","14118","caen"
"201","Ménages d'une personne","4 273","43,0","4 525","43,2","5 550","49,3","14327","herouville-saint-clair"
"202","Autres ménages sans famille","385","3,9","400","3,8","321","2,8","14327","herouville-saint-clair"
"203","Couples sans enfant","2 033","20,5","2 194","21,0","2 150","19,1","14327","herouville-saint-clair"
"204","Couples avec enfant(s)","2 034","20,5","1 909","18,2","1 725","15,3","14327","herouville-saint-clair"
"205","Familles monoparentales","1 214","12,2","1 439","13,7","1 512","13,4","14327","herouville-saint-clair"
"206","Ménages d'une personne","6 737","47,4","7 179","51,6","7 929","55,5","15014","aurillac"
"207","Autres ménages sans famille","326","2,3","279","2,0","202","1,4","15014","aurillac"
"208","Couples sans enfant","3 674","25,9","3 489","25,1","3 216","22,5","15014","aurillac"
"209","Couples avec enfant(s)","2 348","16,5","1 887","13,6","1 728","12,1","15014","aurillac"
"210","Familles monoparentales","1 113","7,8","1 071","7,7","1 211","8,5","15014","aurillac"
"211","Ménages d'une personne","11 247","51,5","12 090","53,6","13 425","57,9","16015","angouleme"
"212","Autres ménages sans famille","630","2,9","669","3,0","604","2,6","16015","angouleme"
"213","Couples sans enfant","4 413","20,2","4 109","18,2","4 062","17,5","16015","angouleme"
"214","Couples avec enfant(s)","3 304","15,1","3 200","14,2","2 696","11,6","16015","angouleme"
"215","Familles monoparentales","2 261","10,3","2 505","11,1","2 384","10,3","16015","angouleme"
"216","Ménages d'une personne","5 394","43,3","6 044","48,5","6 424","51,2","17299","rochefort"
"217","Autres ménages sans famille","245","2,0","298","2,4","203","1,6","17299","rochefort"
"218","Couples sans enfant","3 248","26,1","2 814","22,6","3 004","23,9","17299","rochefort"
"219","Couples avec enfant(s)","2 148","17,2","1 883","15,1","1 579","12,6","17299","rochefort"
"220","Familles monoparentales","1 429","11,5","1 416","11,4","1 343","10,7","17299","rochefort"
"221","Ménages d'une personne","20 617","50,9","22 918","54,4","24 309","55,1","17300","la-rochelle"
"222","Autres ménages sans famille","1 438","3,5","1 438","3,4","928","2,1","17300","la-rochelle"
"223","Couples sans enfant","8 990","22,2","8 639","20,5","9 019","20,4","17300","la-rochelle"
"224","Couples avec enfant(s)","5 475","13,5","5 197","12,3","5 615","12,7","17300","la-rochelle"
"225","Familles monoparentales","4 024","9,9","3 975","9,4","4 241","9,6","17300","la-rochelle"
"226","Ménages d'une personne","6 048","45,6","6 709","49,9","7 527","53,0","17415","saintes"
"227","Autres ménages sans famille","339","2,6","248","1,8","158","1,1","17415","saintes"
"228","Couples sans enfant","3 652","27,6","3 382","25,1","3 365","23,7","17415","saintes"
"229","Couples avec enfant(s)","2 019","15,2","1 776","13,2","1 693","11,9","17415","saintes"
"230","Familles monoparentales","1 191","9,0","1 339","10,0","1 462","10,3","17415","saintes"
"231","Ménages d'une personne","14 708","45,6","15 145","46,5","15 926","49,0","18033","bourges"
"232","Autres ménages sans famille","648","2,0","708","2,2","658","2,0","18033","bourges"
"233","Couples sans enfant","8 045","24,9","7 838","24,1","7 446","22,9","18033","bourges"
"234","Couples avec enfant(s)","5 843","18,1","5 608","17,2","4 998","15,4","18033","bourges"
"235","Familles monoparentales","3 037","9,4","3 252","10,0","3 450","10,6","18033","bourges"
"236","Ménages d'une personne","4 893","38,6","5 099","40,2","5 653","45,4","18279","vierzon"
"237","Autres ménages sans famille","222","1,8","249","2,0","165","1,3","18279","vierzon"
"238","Couples sans enfant","3 847","30,4","3 530","27,9","3 218","25,8","18279","vierzon"
"239","Couples avec enfant(s)","2 516","19,9","2 464","19,4","2 069","16,6","18279","vierzon"
"240","Familles monoparentales","1 188","9,4","1 332","10,5","1 356","10,9","18279","vierzon"
"241","Ménages d'une personne","10 750","44,2","11 009","46,2","12 313","50,1","19031","brive-la-gaillarde"
"242","Autres ménages sans famille","514","2,1","527","2,2","310","1,3","19031","brive-la-gaillarde"
"243","Couples sans enfant","6 646","27,3","6 039","25,3","5 950","24,2","19031","brive-la-gaillarde"
"244","Couples avec enfant(s)","4 385","18,0","4 089","17,2","3 755","15,3","19031","brive-la-gaillarde"
"245","Familles monoparentales","2 035","8,4","2 168","9,1","2 245","9,1","19031","brive-la-gaillarde"
"246","Ménages d'une personne","4 397","41,0","4 533","43,1","4 924","47,0","21054","beaune"
"247","Autres ménages sans famille","204","1,9","188","1,8","118","1,1","21054","beaune"
"248","Couples sans enfant","2 875","26,8","2 722","25,9","2 697","25,7","21054","beaune"
"249","Couples avec enfant(s)","2 220","20,7","2 122","20,2","1 806","17,2","21054","beaune"
"250","Familles monoparentales","1 020","9,5","959","9,1","935","8,9","21054","beaune"
"251","Ménages d'une personne","41 188","51,8","43 213","52,6","49 891","56,5","21231","dijon"
"252","Autres ménages sans famille","2 947","3,7","3 220","3,9","2 630","3,0","21231","dijon"
"253","Couples sans enfant","17 234","21,7","16 768","20,4","16 950","19,2","21231","dijon"
"254","Couples avec enfant(s)","12 490","15,7","12 454","15,2","11 904","13,5","21231","dijon"
"255","Familles monoparentales","5 721","7,2","6 422","7,8","6 860","7,8","21231","dijon"
"256","Ménages d'une personne","4 248","44,4","4 767","47,7","5 156","49,3","22113","lannion"
"257","Autres ménages sans famille","177","1,8","188","1,9","170","1,6","22113","lannion"
"258","Couples sans enfant","2 378","24,9","2 489","24,9","2 544","24,3","22113","lannion"
"259","Couples avec enfant(s)","1 909","20,0","1 710","17,1","1 674","16,0","22113","lannion"
"260","Familles monoparentales","850","8,9","833","8,3","920","8,8","22113","lannion"
"261","Ménages d'une personne","11 603","49,8","11 535","50,5","12 384","53,2","22278","saint-brieuc"
"262","Autres ménages sans famille","629","2,7","605","2,6","466","2,0","22278","saint-brieuc"
"263","Couples sans enfant","5 103","21,9","4 756","20,8","4 487","19,3","22278","saint-brieuc"
"264","Couples avec enfant(s)","3 740","16,0","3 720","16,3","3 487","15,0","22278","saint-brieuc"
"265","Familles monoparentales","2 232","9,6","2 241","9,8","2 476","10,6","22278","saint-brieuc"
"266","Ménages d'une personne","6 000","43,4","6 605","46,5","7 188","49,9","24037","bergerac"
"267","Autres ménages sans famille","284","2,1","325","2,3","174","1,2","24037","bergerac"
"268","Couples sans enfant","3 973","28,7","3 953","27,8","3 765","26,1","24037","bergerac"
"269","Couples avec enfant(s)","2 195","15,9","1 944","13,7","1 839","12,8","24037","bergerac"
"270","Familles monoparentales","1 380","10,0","1 369","9,6","1 450","10,1","24037","bergerac"
"271","Ménages d'une personne","8 863","54,2","9 498","56,8","10 214","59,8","24322","perigueux"
"272","Autres ménages sans famille","408","2,5","435","2,6","287","1,7","24322","perigueux"
"273","Couples sans enfant","3 517","21,5","3 196","19,1","3 037","17,8","24322","perigueux"
"274","Couples avec enfant(s)","1 982","12,1","1 919","11,5","1 737","10,2","24322","perigueux"
"275","Familles monoparentales","1 581","9,7","1 685","10,1","1 799","10,5","24322","perigueux"
"276","Ménages d'une personne","31 703","52,3","32 648","53,4","36 007","56,1","25056","besancon"
"277","Autres ménages sans famille","2 451","4,0","2 334","3,8","2 042","3,2","25056","besancon"
"278","Couples sans enfant","11 497","19,0","11 583","19,0","11 284","17,6","25056","besancon"
"279","Couples avec enfant(s)","9 484","15,6","9 009","14,7","8 712","13,6","25056","besancon"
"280","Familles monoparentales","5 484","9,0","5 517","9,0","6 179","9,6","25056","besancon"
"281","Ménages d'une personne","5 169","42,7","5 474","46,1","5 098","44,8","25388","montbeliard"
"282","Autres ménages sans famille","298","2,5","219","1,8","222","1,9","25388","montbeliard"
"283","Couples sans enfant","2 926","24,1","2 465","20,7","2 329","20,5","25388","montbeliard"
"284","Couples avec enfant(s)","2 559","21,1","2 483","20,9","2 401","21,1","25388","montbeliard"
"285","Familles monoparentales","1 168","9,6","1 238","10,4","1 330","11,7","25388","montbeliard"
"286","Ménages d'une personne","6 113","37,8","7 182","40,1","8 170","42,6","26198","montelimar"
"287","Autres ménages sans famille","351","2,2","400","2,2","322","1,7","26198","montelimar"
"288","Couples sans enfant","4 401","27,2","4 544","25,4","4 664","24,3","26198","montelimar"
"289","Couples avec enfant(s)","3 786","23,4","3 943","22,0","3 949","20,6","26198","montelimar"
"290","Familles monoparentales","1 533","9,5","1 826","10,2","2 068","10,8","26198","montelimar"
"291","Ménages d'une personne","6 319","41,2","6 908","43,6","7 755","47,5","26281","romans-sur-isere"
"292","Autres ménages sans famille","322","2,1","372","2,3","136","0,8","26281","romans-sur-isere"
"293","Couples sans enfant","3 636","23,7","3 717","23,5","3 558","21,8","26281","romans-sur-isere"
"294","Couples avec enfant(s)","3 514","22,9","3 290","20,8","3 254","19,9","26281","romans-sur-isere"
"295","Familles monoparentales","1 562","10,2","1 556","9,8","1 637","10,0","26281","romans-sur-isere"
"296","Ménages d'une personne","13 742","45,0","14 442","47,1","16 852","51,0","26362","valence"
"297","Autres ménages sans famille","809","2,6","736","2,4","562","1,7","26362","valence"
"298","Couples sans enfant","6 927","22,7","6 801","22,2","6 631","20,1","26362","valence"
"299","Couples avec enfant(s)","6 181","20,2","5 663","18,5","5 723","17,3","26362","valence"
"300","Familles monoparentales","2 866","9,4","2 991","9,8","3 262","9,9","26362","valence"
"301","Ménages d'une personne","9 945","43,2","10 613","45,9","11 437","49,5","27229","evreux"
"302","Autres ménages sans famille","592","2,6","598","2,6","394","1,7","27229","evreux"
"303","Couples sans enfant","4 601","20,0","4 323","18,7","4 017","17,4","27229","evreux"
"304","Couples avec enfant(s)","4 673","20,3","4 415","19,1","3 932","17,0","27229","evreux"
