"","Type de ménages","2010","%1","2015","%2","2021","%3","code_insee","Ville"
"1963","Couples sans enfant","2 056","23,1","1 903","20,7","1 735","17,9","93057","les-pavillons-sous-bois"
"1964","Couples avec enfant(s)","2 833","31,9","3 205","34,9","3 229","33,2","93057","les-pavillons-sous-bois"
"1965","Familles monoparentales","1 028","11,6","1 044","11,4","1 274","13,1","93057","les-pavillons-sous-bois"
"1966","Ménages d'une personne","2 431","25,8","2 484","25,5","3 592","31,8","93059","pierrefitte-sur-seine"
"1967","Autres ménages sans famille","349","3,7","319","3,3","286","2,5","93059","pierrefitte-sur-seine"
"1968","Couples sans enfant","1 525","16,2","1 579","16,2","1 493","13,2","93059","pierrefitte-sur-seine"
"1969","Couples avec enfant(s)","3 689","39,2","3 843","39,4","4 146","36,7","93059","pierrefitte-sur-seine"
"1970","Familles monoparentales","1 424","15,1","1 523","15,6","1 774","15,7","93059","pierrefitte-sur-seine"
"1971","Ménages d'une personne","3 198","31,3","3 457","32,9","4 693","34,2","93063","romainville"
"1972","Autres ménages sans famille","494","4,8","425","4,0","394","2,9","93063","romainville"
"1973","Couples sans enfant","1 894","18,5","1 829","17,4","2 328","17,0","93063","romainville"
"1974","Couples avec enfant(s)","3 163","30,9","3 146","30,0","4 136","30,2","93063","romainville"
"1975","Familles monoparentales","1 475","14,4","1 644","15,7","2 164","15,8","93063","romainville"
"1976","Ménages d'une personne","5 338","32,0","5 960","33,0","7 361","38,2","93064","rosny-sous-bois"
"1977","Autres ménages sans famille","571","3,4","494","2,7","321","1,7","93064","rosny-sous-bois"
"1978","Couples sans enfant","3 724","22,3","3 533","19,6","3 722","19,3","93064","rosny-sous-bois"
"1979","Couples avec enfant(s)","5 022","30,1","5 627","31,2","5 480","28,4","93064","rosny-sous-bois"
"1980","Familles monoparentales","2 014","12,1","2 435","13,5","2 402","12,5","93064","rosny-sous-bois"
"1981","Ménages d'une personne","14 148","34,3","15 552","35,7","18 048","38,7","93066","saint-denis"
"1982","Autres ménages sans famille","2 454","5,9","2 972","6,8","2 326","5,0","93066","saint-denis"
"1983","Couples sans enfant","6 412","15,5","6 350","14,6","6 499","13,9","93066","saint-denis"
"1984","Couples avec enfant(s)","12 517","30,3","12 395","28,4","12 197","26,1","93066","saint-denis"
"1985","Familles monoparentales","5 747","13,9","6 331","14,5","7 600","16,3","93066","saint-denis"
"1986","Ménages d'une personne","8 890","41,6","9 881","44,2","10 201","41,9","93070","saint-ouen-sur-seine"
"1987","Autres ménages sans famille","1 319","6,2","1 302","5,8","1 026","4,2","93070","saint-ouen-sur-seine"
"1988","Couples sans enfant","3 203","15,0","3 371","15,1","3 793","15,6","93070","saint-ouen-sur-seine"
"1989","Couples avec enfant(s)","5 170","24,2","4 993","22,3","5 721","23,5","93070","saint-ouen-sur-seine"
"1990","Familles monoparentales","2 800","13,1","2 816","12,6","3 608","14,8","93070","saint-ouen-sur-seine"
"1991","Ménages d'une personne","3 831","23,1","3 984","23,7","4 496","25,6","93071","sevran"
"1992","Autres ménages sans famille","494","3,0","627","3,7","440","2,5","93071","sevran"
"1993","Couples sans enfant","3 054","18,4","2 917","17,3","2 957","16,9","93071","sevran"
"1994","Couples avec enfant(s)","6 775","40,8","6 534","38,8","6 544","37,3","93071","sevran"
"1995","Familles monoparentales","2 457","14,8","2 766","16,4","3 092","17,6","93071","sevran"
"1996","Ménages d'une personne","3 547","29,7","3 554","26,8","4 616","32,4","93072","stains"
"1997","Autres ménages sans famille","460","3,9","526","4,0","458","3,2","93072","stains"
"1998","Couples sans enfant","1 806","15,1","1 749","13,2","1 559","10,9","93072","stains"
"1999","Couples avec enfant(s)","4 068","34,1","5 205","39,2","5 094","35,8","93072","stains"
"2000","Familles monoparentales","2 046","17,2","2 233","16,8","2 515","17,7","93072","stains"
"2001","Ménages d'une personne","3 118","24,8","3 375","26,4","4 185","29,8","93073","tremblay-en-france"
"2002","Autres ménages sans famille","352","2,8","299","2,3","171","1,2","93073","tremblay-en-france"
"2003","Couples sans enfant","2 798","22,3","2 575","20,2","2 652","18,9","93073","tremblay-en-france"
"2004","Couples avec enfant(s)","4 800","38,2","4 880","38,2","5 032","35,8","93073","tremblay-en-france"
"2005","Familles monoparentales","1 504","12,0","1 639","12,8","2 016","14,3","93073","tremblay-en-france"
"2006","Ménages d'une personne","3 966","33,9","4 253","34,5","4 323","34,2","93077","villemomble"
"2007","Autres ménages sans famille","270","2,3","278","2,3","312","2,5","93077","villemomble"
"2008","Couples sans enfant","2 555","21,8","2 572","20,8","2 536","20,1","93077","villemomble"
"2009","Couples avec enfant(s)","3 554","30,4","3 782","30,6","3 591","28,4","93077","villemomble"
"2010","Familles monoparentales","1 361","11,6","1 459","11,8","1 860","14,7","93077","villemomble"
"2011","Ménages d'une personne","2 429","21,2","2 597","22,1","3 101","24,1","93078","villepinte"
"2012","Autres ménages sans famille","337","2,9","301","2,6","227","1,8","93078","villepinte"
"2013","Couples sans enfant","2 252","19,7","2 120","18,0","2 218","17,2","93078","villepinte"
"2014","Couples avec enfant(s)","5 009","43,8","4 989","42,5","5 238","40,6","93078","villepinte"
"2015","Familles monoparentales","1 407","12,3","1 741","14,8","2 103","16,3","93078","villepinte"
"2016","Ménages d'une personne","7 764","39,2","8 183","40,8","9 464","44,3","94002","alfortville"
"2017","Autres ménages sans famille","783","4,0","775","3,9","450","2,1","94002","alfortville"
"2018","Couples sans enfant","4 029","20,4","3 745","18,7","3 695","17,3","94002","alfortville"
"2019","Couples avec enfant(s)","4 908","24,8","5 070","25,3","4 898","22,9","94002","alfortville"
"2020","Familles monoparentales","2 313","11,7","2 271","11,3","2 851","13,3","94002","alfortville"
"2021","Ménages d'une personne","3 451","38,6","3 982","41,0","4 649","45,4","94003","arcueil"
"2022","Autres ménages sans famille","358","4,0","319","3,3","314","3,1","94003","arcueil"
"2023","Couples sans enfant","1 747","19,5","1 660","17,1","1 625","15,9","94003","arcueil"
"2024","Couples avec enfant(s)","2 233","25,0","2 510","25,9","2 363","23,1","94003","arcueil"
"2025","Familles monoparentales","1 152","12,9","1 235","12,7","1 289","12,6","94003","arcueil"
"2026","Ménages d'une personne","4 641","38,9","4 953","38,8","6 033","44,3","94016","cachan"
"2027","Autres ménages sans famille","504","4,2","582","4,6","409","3,0","94016","cachan"
"2028","Couples sans enfant","2 325","19,5","2 500","19,6","2 344","17,2","94016","cachan"
"2029","Couples avec enfant(s)","3 280","27,5","3 417","26,8","3 362","24,7","94016","cachan"
"2030","Familles monoparentales","1 192","10,0","1 319","10,3","1 480","10,9","94016","cachan"
"2031","Ménages d'une personne","8 598","29,5","9 142","30,7","10 350","33,2","94017","champigny-sur-marne"
"2032","Autres ménages sans famille","1 026","3,5","1 065","3,6","683","2,2","94017","champigny-sur-marne"
"2033","Couples sans enfant","5 970","20,5","5 554","18,6","5 511","17,7","94017","champigny-sur-marne"
"2034","Couples avec enfant(s)","9 701","33,2","9 793","32,9","9 263","29,7","94017","champigny-sur-marne"
"2035","Familles monoparentales","3 885","13,3","4 251","14,3","5 351","17,2","94017","champigny-sur-marne"
"2036","Ménages d'une personne","5 674","41,4","5 689","40,3","5 850","42,5","94018","charenton-le-pont"
"2037","Autres ménages sans famille","401","2,9","473","3,4","248","1,8","94018","charenton-le-pont"
"2038","Couples sans enfant","2 639","19,3","2 752","19,5","2 705","19,7","94018","charenton-le-pont"
"2039","Couples avec enfant(s)","3 591","26,2","3 804","27,0","3 450","25,1","94018","charenton-le-pont"
"2040","Familles monoparentales","1 402","10,2","1 397","9,9","1 510","11,0","94018","charenton-le-pont"
"2041","Ménages d'une personne","2 351","31,5","2 444","31,5","3 053","36,4","94021","chevilly-larue"
"2042","Autres ménages sans famille","233","3,1","358","4,6","239","2,8","94021","chevilly-larue"
"2043","Couples sans enfant","1 658","22,2","1 507","19,4","1 433","17,1","94021","chevilly-larue"
"2044","Couples avec enfant(s)","2 359","31,6","2 296","29,6","2 294","27,4","94021","chevilly-larue"
"2045","Familles monoparentales","855","11,5","1 151","14,8","1 359","16,2","94021","chevilly-larue"
"2046","Ménages d'une personne","6 364","36,5","6 202","34,3","8 018","39,7","94022","choisy-le-roi"
"2047","Autres ménages sans famille","671","3,8","827","4,6","560","2,8","94022","choisy-le-roi"
"2048","Couples sans enfant","3 471","19,9","3 501","19,4","3 268","16,2","94022","choisy-le-roi"
"2049","Couples avec enfant(s)","5 025","28,8","5 515","30,5","5 322","26,3","94022","choisy-le-roi"
"2050","Familles monoparentales","1 914","11,0","2 037","11,3","3 032","15,0","94022","choisy-le-roi"
"2051","Ménages d'une personne","11 702","32,6","12 660","34,6","15 345","39,1","94028","creteil"
"2052","Autres ménages sans famille","1 420","4,0","1 448","4,0","1 277","3,3","94028","creteil"
"2053","Couples sans enfant","6 765","18,8","6 318","17,2","6 024","15,4","94028","creteil"
"2054","Couples avec enfant(s)","10 686","29,8","11 049","30,2","10 426","26,6","94028","creteil"
"2055","Familles monoparentales","5 331","14,8","5 165","14,1","6 158","15,7","94028","creteil"
"2056","Ménages d'une personne","7 663","34,3","7 507","33,6","8 149","36,6","94033","fontenay-sous-bois"
"2057","Autres ménages sans famille","839","3,8","692","3,1","496","2,2","94033","fontenay-sous-bois"
"2058","Couples sans enfant","4 419","19,8","4 342","19,4","4 202","18,9","94033","fontenay-sous-bois"
"2059","Couples avec enfant(s)","6 519","29,2","6 799","30,4","6 500","29,2","94033","fontenay-sous-bois"
"2060","Familles monoparentales","2 895","13,0","3 013","13,5","2 908","13,1","94033","fontenay-sous-bois"
"2061","Ménages d'une personne","3 267","32,7","3 621","35,2","4 675","41,5","94034","fresnes"
"2062","Autres ménages sans famille","340","3,4","284","2,8","163","1,4","94034","fresnes"
"2063","Couples sans enfant","2 189","21,9","1 924","18,7","1 710","15,2","94034","fresnes"
"2064","Couples avec enfant(s)","2 887","28,9","3 005","29,2","3 024","26,8","94034","fresnes"
"2065","Familles monoparentales","1 310","13,1","1 467","14,2","1 705","15,1","94034","fresnes"
"2066","Ménages d'une personne","4 046","32,5","4 364","34,3","4 477","35,0","94038","l-hay-les-roses"
"2067","Autres ménages sans famille","291","2,3","357","2,8","268","2,1","94038","l-hay-les-roses"
"2068","Couples sans enfant","2 894","23,3","2 770","21,7","2 539","19,9","94038","l-hay-les-roses"
"2069","Couples avec enfant(s)","3 823","30,7","3 720","29,2","3 620","28,3","94038","l-hay-les-roses"
"2070","Familles monoparentales","1 379","11,1","1 529","12,0","1 872","14,7","94038","l-hay-les-roses"
"2071","Ménages d'une personne","10 384","40,7","11 050","41,4","13 610","46,5","94041","ivry-sur-seine"
"2072","Autres ménages sans famille","1 457","5,7","1 469","5,5","1 344","4,6","94041","ivry-sur-seine"
"2073","Couples sans enfant","4 769","18,7","4 905","18,4","4 438","15,2","94041","ivry-sur-seine"
"2074","Couples avec enfant(s)","6 059","23,8","6 084","22,8","6 380","21,8","94041","ivry-sur-seine"
"2075","Familles monoparentales","2 834","11,1","3 183","11,9","3 479","11,9","94041","ivry-sur-seine"
"2076","Ménages d'une personne","3 454","41,4","3 301","38,6","3 486","38,5","94042","joinville-le-pont"
"2077","Autres ménages sans famille","274","3,3","295","3,4","202","2,2","94042","joinville-le-pont"
"2078","Couples sans enfant","1 816","21,8","1 868","21,8","1 783","19,7","94042","joinville-le-pont"
"2079","Couples avec enfant(s)","2 093","25,1","2 196","25,7","2 382","26,3","94042","joinville-le-pont"
"2080","Familles monoparentales","702","8,4","891","10,4","1 213","13,4","94042","joinville-le-pont"
"2081","Ménages d'une personne","4 707","40,1","4 872","41,6","5 429","46,2","94043","le-kremlin-bicetre"
"2082","Autres ménages sans famille","680","5,8","574","4,9","521","4,4","94043","le-kremlin-bicetre"
"2083","Couples sans enfant","2 066","17,6","2 097","17,9","2 175","18,5","94043","le-kremlin-bicetre"
"2084","Couples avec enfant(s)","2 978","25,4","2 839","24,2","2 393","20,4","94043","le-kremlin-bicetre"
"2085","Familles monoparentales","1 298","11,1","1 337","11,4","1 231","10,5","94043","le-kremlin-bicetre"
"2086","Ménages d'une personne","2 026","27,3","3 040","31,0","3 282","31,2","94044","limeil-brevannes"
"2087","Autres ménages sans famille","196","2,6","300","3,1","190","1,8","94044","limeil-brevannes"
"2088","Couples sans enfant","1 585","21,4","1 857","19,0","1 857","17,7","94044","limeil-brevannes"
"2089","Couples avec enfant(s)","2 659","35,9","3 355","34,3","3 588","34,1","94044","limeil-brevannes"
"2090","Familles monoparentales","949","12,8","1 244","12,7","1 594","15,2","94044","limeil-brevannes"
"2091","Ménages d'une personne","9 979","40,3","9 817","39,1","11 134","41,1","94046","maisons-alfort"
"2092","Autres ménages sans famille","1 019","4,1","775","3,1","621","2,3","94046","maisons-alfort"
"2093","Couples sans enfant","5 389","21,8","5 548","22,1","5 648","20,8","94046","maisons-alfort"
"2094","Couples avec enfant(s)","5 981","24,2","6 440","25,6","6 973","25,7","94046","maisons-alfort"
"2095","Familles monoparentales","2 374","9,6","2 539","10,1","2 714","10,0","94046","maisons-alfort"
"2096","Ménages d'une personne","5 735","39,1","5 717","39,1","6 506","41,7","94052","nogent-sur-marne"
"2097","Autres ménages sans famille","370","2,5","323","2,2","310","2,0","94052","nogent-sur-marne"
"2098","Couples sans enfant","3 398","23,2","3 384","23,2","3 128","20,1","94052","nogent-sur-marne"
"2099","Couples avec enfant(s)","3 755","25,6","3 796","26,0","3 975","25,5","94052","nogent-sur-marne"
"2100","Familles monoparentales","1 408","9,6","1 387","9,5","1 669","10,7","94052","nogent-sur-marne"
"2101","Ménages d'une personne","2 686","32,1","2 608","29,6","3 329","34,5","94054","orly"
"2102","Autres ménages sans famille","353","4,2","295","3,3","266","2,8","94054","orly"
"2103","Couples sans enfant","1 424","17,0","1 494","17,0","1 533","15,9","94054","orly"
"2104","Couples avec enfant(s)","2 689","32,2","3 012","34,2","2 956","30,6","94054","orly"
"2105","Familles monoparentales","1 208","14,5","1 398","15,9","1 566","16,2","94054","orly"
"2106","Ménages d'une personne","5 120","35,5","5 340","35,7","5 889","38,2","94058","le-perreux-sur-marne"
"2107","Autres ménages sans famille","414","2,9","417","2,8","259","1,7","94058","le-perreux-sur-marne"
"2108","Couples sans enfant","3 392","23,5","3 435","22,9","3 265","21,2","94058","le-perreux-sur-marne"
"2109","Couples avec enfant(s)","4 218","29,3","4 371","29,2","4 536","29,5","94058","le-perreux-sur-marne"
"2110","Familles monoparentales","1 260","8,7","1 414","9,4","1 451","9,4","94058","le-perreux-sur-marne"
"2111","Ménages d'une personne","2 225","28,2","2 282","28,3","2 856","33,6","94059","le-plessis-trevise"
"2112","Autres ménages sans famille","153","1,9","167","2,1","95","1,1","94059","le-plessis-trevise"
"2113","Couples sans enfant","2 081","26,4","2 072","25,7","1 772","20,9","94059","le-plessis-trevise"
"2114","Couples avec enfant(s)","2 570","32,6","2 684","33,3","2 566","30,2","94059","le-plessis-trevise"
"2115","Familles monoparentales","848","10,8","867","10,7","1 208","14,2","94059","le-plessis-trevise"
"2116","Ménages d'une personne","4 347","41,8","4 287","41,3","4 818","46,2","94067","saint-mande"
"2117","Autres ménages sans famille","360","3,5","279","2,7","182","1,7","94067","saint-mande"
"2118","Couples sans enfant","2 147","20,6","2 281","22,0","2 197","21,1","94067","saint-mande"
"2119","Couples avec enfant(s)","2 642","25,4","2 564","24,7","2 360","22,6","94067","saint-mande"
"2120","Familles monoparentales","903","8,7","967","9,3","875","8,4","94067","saint-mande"
"2121","Ménages d'une personne","12 691","37,5","12 591","37,3","14 612","41,5","94068","saint-maur-des-fosses"
"2122","Autres ménages sans famille","721","2,1","928","2,8","473","1,3","94068","saint-maur-des-fosses"
"2123","Couples sans enfant","8 457","25,0","8 036","23,8","7 788","22,1","94068","saint-maur-des-fosses"
"2124","Couples avec enfant(s)","9 115","26,9","9 214","27,3","9 110","25,9","94068","saint-maur-des-fosses"
"2125","Familles monoparentales","2 842","8,4","2 952","8,8","3 240","9,2","94068","saint-maur-des-fosses"
"2126","Ménages d'une personne","2 638","26,4","2 894","27,6","3 382","30,4","94071","sucy-en-brie"
"2127","Autres ménages sans famille","245","2,4","233","2,2","122","1,1","94071","sucy-en-brie"
"2128","Couples sans enfant","2 608","26,1","2 770","26,4","2 695","24,2","94071","sucy-en-brie"
"2129","Couples avec enfant(s)","3 516","35,1","3 526","33,6","3 616","32,5","94071","sucy-en-brie"
"2130","Familles monoparentales","997","10,0","1 076","10,2","1 313","11,8","94071","sucy-en-brie"
"2131","Ménages d'une personne","3 723","31,7","4 401","36,4","5 244","38,4","94073","thiais"
"2132","Autres ménages sans famille","291","2,5","204","1,7","223","1,6","94073","thiais"
"2133","Couples sans enfant","2 647","22,5","2 579","21,3","2 696","19,8","94073","thiais"
"2134","Couples avec enfant(s)","3 891","33,1","3 687","30,5","3 769","27,6","94073","thiais"
"2135","Familles monoparentales","1 204","10,2","1 224","10,1","1 709","12,5","94073","thiais"
"2136","Ménages d'une personne","8 136","35,2","8 626","36,4","10 486","40,7","94076","villejuif"
"2137","Autres ménages sans famille","1 126","4,9","1 315","5,6","1 338","5,2","94076","villejuif"
"2138","Couples sans enfant","4 489","19,4","4 359","18,4","4 172","16,2","94076","villejuif"
"2139","Couples avec enfant(s)","6 480","28,0","6 387","27,0","6 353","24,6","94076","villejuif"
"2140","Familles monoparentales","2 894","12,5","3 006","12,7","3 427","13,3","94076","villejuif"
"2141","Ménages d'une personne","2 275","30,9","2 206","27,8","2 641","31,2","94077","villeneuve-le-roi"
"2142","Autres ménages sans famille","225","3,1","381","4,8","159","1,9","94077","villeneuve-le-roi"
"2143","Couples sans enfant","1 688","22,9","1 675","21,1","1 745","20,6","94077","villeneuve-le-roi"
"2144","Couples avec enfant(s)","2 313","31,4","2 727","34,4","2 805","33,1","94077","villeneuve-le-roi"
"2145","Familles monoparentales","873","11,8","945","11,9","1 123","13,2","94077","villeneuve-le-roi"
"2146","Ménages d'une personne","3 669","30,6","4 152","33,7","4 116","32,1","94078","villeneuve-saint-georges"
"2147","Autres ménages sans famille","526","4,4","524","4,3","353","2,8","94078","villeneuve-saint-georges"
"2148","Couples sans enfant","2 082","17,3","2 004","16,3","1 902","14,8","94078","villeneuve-saint-georges"
"2149","Couples avec enfant(s)","4 166","34,7","3 939","32,0","4 325","33,8","94078","villeneuve-saint-georges"
"2150","Familles monoparentales","1 562","13,0","1 697","13,8","2 118","16,5","94078","villeneuve-saint-georges"
"2151","Ménages d'une personne","2 809","27,3","3 341","29,6","5 322","40,2","94079","villiers-sur-marne"
"2152","Autres ménages sans famille","341","3,3","330","2,9","249","1,9","94079","villiers-sur-marne"
"2153","Couples sans enfant","2 296","22,3","2 740","24,3","2 460","18,6","94079","villiers-sur-marne"
"2154","Couples avec enfant(s)","3 593","34,9","3 659","32,4","3 688","27,8","94079","villiers-sur-marne"
"2155","Familles monoparentales","1 265","12,3","1 224","10,8","1 531","11,6","94079","villiers-sur-marne"
"2156","Ménages d'une personne","11 200","45,9","11 396","45,7","11 906","48,2","94080","vincennes"
"2157","Autres ménages sans famille","774","3,2","811","3,3","442","1,8","94080","vincennes"
"2158","Couples sans enfant","5 277","21,6","5 450","21,9","4 842","19,6","94080","vincennes"
"2159","Couples avec enfant(s)","5 323","21,8","5 406","21,7","5 503","22,3","94080","vincennes"
"2160","Familles monoparentales","1 844","7,6","1 851","7,4","1 993","8,1","94080","vincennes"
"2161","Ménages d'une personne","10 557","31,4","11 574","31,8","13 113","33,9","94081","vitry-sur-seine"
"2162","Autres ménages sans famille","1 396","4,2","1 706","4,7","1 442","3,7","94081","vitry-sur-seine"
"2163","Couples sans enfant","6 607","19,7","6 883","18,9","6 597","17,1","94081","vitry-sur-seine"
"2164","Couples avec enfant(s)","10 583","31,5","11 131","30,6","11 437","29,6","94081","vitry-sur-seine"
"2165","Familles monoparentales","4 453","13,3","5 085","14,0","6 076","15,7","94081","vitry-sur-seine"
"2166","Ménages d'une personne","12 191","31,0","12 809","30,6","16 092","37,2","95018","argenteuil"
"2167","Autres ménages sans famille","1 288","3,3","1 268","3,0","1 211","2,8","95018","argenteuil"
"2168","Couples sans enfant","7 581","19,3","7 730","18,4","7 225","16,7","95018","argenteuil"
"2169","Couples avec enfant(s)","13 424","34,1","14 841","35,4","12 971","30,0","95018","argenteuil"
"2170","Familles monoparentales","4 849","12,3","5 264","12,6","5 708","13,2","95018","argenteuil"
"2171","Ménages d'une personne","2 785","26,5","3 172","28,6","4 153","32,2","95063","bezons"
"2172","Autres ménages sans famille","292","2,8","320","2,9","320","2,5","95063","bezons"
"2173","Couples sans enfant","2 140","20,4","2 389","21,5","2 367","18,4","95063","bezons"
"2174","Couples avec enfant(s)","3 912","37,2","3 687","33,2","4 233","32,8","95063","bezons"
"2175","Familles monoparentales","1 379","13,1","1 526","13,8","1 828","14,2","95063","bezons"
"2176","Ménages d'une personne","7 804","34,1","8 446","33,9","10 053","36,1","95127","cergy"
"2177","Autres ménages sans famille","1 022","4,5","1 081","4,3","1 168","4,2","95127","cergy"
"2178","Couples sans enfant","3 962","17,3","4 084","16,4","4 195","15,1","95127","cergy"
"2179","Couples avec enfant(s)","6 983","30,5","7 865","31,6","8 069","29,0","95127","cergy"
"2180","Familles monoparentales","3 142","13,7","3 428","13,8","4 375","15,7","95127","cergy"
"2181","Ménages d'une personne","2 221","25,3","2 680","28,8","3 210","30,2","95176","cormeilles-en-parisis"
"2182","Autres ménages sans famille","153","1,7","135","1,5","112","1,1","95176","cormeilles-en-parisis"
"2183","Couples sans enfant","2 198","25,1","2 234","24,0","2 443","23,0","95176","cormeilles-en-parisis"
"2184","Couples avec enfant(s)","3 436","39,2","3 413","36,7","3 788","35,7","95176","cormeilles-en-parisis"
"2185","Familles monoparentales","765","8,7","829","8,9","1 061","10,0","95176","cormeilles-en-parisis"
"2186","Ménages d'une personne","2 942","32,7","2 887","31,7","3 575","36,8","95197","deuil-la-barre"
"2187","Autres ménages sans famille","214","2,4","248","2,7","179","1,8","95197","deuil-la-barre"
"2188","Couples sans enfant","1 984","22,1","2 119","23,3","2 165","22,3","95197","deuil-la-barre"
"2189","Couples avec enfant(s)","2 985","33,2","2 867","31,5","2 687","27,6","95197","deuil-la-barre"
"2190","Familles monoparentales","866","9,6","991","10,9","1 112","11,4","95197","deuil-la-barre"
"2191","Ménages d'une personne","2 788","28,6","2 933","29,7","3 357","32,5","95203","eaubonne"
"2192","Autres ménages sans famille","230","2,4","210","2,1","153","1,5","95203","eaubonne"
"2193","Couples sans enfant","2 473","25,4","2 323","23,5","2 273","22,0","95203","eaubonne"
"2194","Couples avec enfant(s)","3 258","33,5","3 276","33,2","3 309","32,0","95203","eaubonne"
"2195","Familles monoparentales","989","10,2","1 133","11,5","1 252","12,1","95203","eaubonne"
"2196","Ménages d'une personne","3 516","31,3","4 259","35,1","4 617","37,0","95219","ermont"
"2197","Autres ménages sans famille","279","2,5","223","1,8","165","1,3","95219","ermont"
"2198","Couples sans enfant","2 603","23,2","2 615","21,5","2 502","20,0","95219","ermont"
"2199","Couples avec enfant(s)","3 520","31,3","3 660","30,1","3 651","29,2","95219","ermont"
"2200","Familles monoparentales","1 322","11,8","1 386","11,4","1 552","12,4","95219","ermont"
"2201","Ménages d'une personne","4 313","31,1","4 663","32,2","5 710","35,6","95252","franconville"
"2202","Autres ménages sans famille","300","2,2","285","2,0","234","1,5","95252","franconville"
"2203","Couples sans enfant","3 326","24,0","3 263","22,5","3 339","20,8","95252","franconville"
"2204","Couples avec enfant(s)","4 275","30,9","4 522","31,2","4 843","30,2","95252","franconville"
"2205","Familles monoparentales","1 644","11,9","1 762","12,2","1 934","12,0","95252","franconville"
"2206","Ménages d'une personne","2 874","22,7","2 788","20,9","3 612","25,7","95268","garges-les-gonesse"
"2207","Autres ménages sans famille","518","4,1","743","5,6","435","3,1","95268","garges-les-gonesse"
"2208","Couples sans enfant","1 975","15,6","1 992","14,9","1 830","13,0","95268","garges-les-gonesse"
"2209","Couples avec enfant(s)","5 321","42,0","5 543","41,5","5 577","39,7","95268","garges-les-gonesse"
"2210","Familles monoparentales","1 975","15,6","2 275","17,1","2 600","18,5","95268","garges-les-gonesse"
"2211","Ménages d'une personne","2 344","26,1","2 634","28,6","3 116","32,0","95277","gonesse"
"2212","Autres ménages sans famille","215","2,4","301","3,3","255","2,6","95277","gonesse"
"2213","Couples sans enfant","1 702","19,0","1 675","18,2","1 489","15,3","95277","gonesse"
"2214","Couples avec enfant(s)","3 436","38,3","3 266","35,5","3 153","32,4","95277","gonesse"
"2215","Familles monoparentales","1 284","14,3","1 329","14,4","1 726","17,7","95277","gonesse"
"2216","Ménages d'une personne","2 015","20,4","2 435","24,0","2 669","26,1","95280","goussainville"
"2217","Autres ménages sans famille","262","2,7","247","2,4","109","1,1","95280","goussainville"
"2218","Couples sans enfant","1 895","19,2","1 680","16,6","1 601","15,7","95280","goussainville"
"2219","Couples avec enfant(s)","4 556","46,1","4 500","44,4","4 255","41,7","95280","goussainville"
"2220","Familles monoparentales","1 147","11,6","1 284","12,7","1 576","15,4","95280","goussainville"
"2221","Ménages d'une personne","2 395","24,4","2 415","23,2","3 242","27,1","95306","herblay-sur-seine"
"2222","Autres ménages sans famille","221","2,2","177","1,7","122","1,0","95306","herblay-sur-seine"
"2223","Couples sans enfant","2 437","24,8","2 673","25,7","2 666","22,2","95306","herblay-sur-seine"
"2224","Couples avec enfant(s)","3 853","39,2","4 120","39,6","4 285","35,8","95306","herblay-sur-seine"
"2225","Familles monoparentales","925","9,4","1 012","9,7","1 667","13,9","95306","herblay-sur-seine"
"2226","Ménages d'une personne","1 423","21,7","1 527","21,6","1 703","22,2","95424","montigny-les-cormeilles"
"2227","Autres ménages sans famille","129","2,0","176","2,5","95","1,2","95424","montigny-les-cormeilles"
"2228","Couples sans enfant","1 325","20,2","1 413","20,0","1 543","20,1","95424","montigny-les-cormeilles"
"2229","Couples avec enfant(s)","2 801","42,7","3 072","43,4","3 136","40,9","95424","montigny-les-cormeilles"
"2230","Familles monoparentales","876","13,4","895","12,6","1 194","15,6","95424","montigny-les-cormeilles"
"2231","Ménages d'une personne","3 021","34,0","2 932","33,3","3 299","35,7","95428","montmorency"
"2232","Autres ménages sans famille","214","2,4","243","2,8","107","1,2","95428","montmorency"
"2233","Couples sans enfant","2 120","23,9","1 971","22,4","2 026","21,9","95428","montmorency"
"2234","Couples avec enfant(s)","2 571","29,0","2 610","29,7","2 672","28,9","95428","montmorency"
"2235","Familles monoparentales","950","10,7","1 046","11,9","1 149","12,4","95428","montmorency"
"2236","Ménages d'une personne","4 230","34,5","4 628","36,4","5 510","40,6","95500","pontoise"
"2237","Autres ménages sans famille","418","3,4","483","3,8","280","2,1","95500","pontoise"
"2238","Couples sans enfant","2 711","22,1","2 491","19,6","2 352","17,3","95500","pontoise"
"2239","Couples avec enfant(s)","3 307","27,0","3 367","26,5","3 527","26,0","95500","pontoise"
"2240","Familles monoparentales","1 589","13,0","1 742","13,7","1 916","14,1","95500","pontoise"
"2241","Ménages d'une personne","3 231","37,3","3 193","36,2","3 558","39,2","95555","saint-gratien"
"2242","Autres ménages sans famille","225","2,6","202","2,3","149","1,6","95555","saint-gratien"
"2243","Couples sans enfant","1 964","22,7","1 848","21,0","1 783","19,6","95555","saint-gratien"
"2244","Couples avec enfant(s)","2 439","28,2","2 559","29,0","2 493","27,4","95555","saint-gratien"
"2245","Familles monoparentales","803","9,3","1 017","11,5","1 102","12,1","95555","saint-gratien"
"2246","Ménages d'une personne","2 323","27,0","2 618","28,6","3 786","36,4","95572","saint-ouen-l-aumone"
"2247","Autres ménages sans famille","190","2,2","267","2,9","201","1,9","95572","saint-ouen-l-aumone"
"2248","Couples sans enfant","1 772","20,6","1 844","20,2","1 900","18,3","95572","saint-ouen-l-aumone"
